"col0","col1","col2","col3","col4","col5","col6"
"14","March 4, 1853 – March 4, 1857","Franklin Pierce","Brigadier general of the 9th Infantry United States Army","Democratic","1852","Ctithave, strei shi"
"15","March 4, 1857 – March 4, 1861","James Buchanan","United States minister to the Court of St James's","Democratic","1856","John C. Breckinridge"
"16","March 4, 1861 – April 15, 1865","Abraham Lincoln[k]","U.S. representative for Illinois's 7th District","Republican","1860","Hannibal Hamlin"
"16","March 4, 1861 – April 15, 1865","Abraham Lincoln[k]","U.S. representative for Illinois's 7th District","Republican","1864","Andrew Johnson"
"17","April 15, 1865 – March 4, 1869","Andrew Johnson","16th vice president of the United States","National Union[l]","1864","Spy meosh luag"
"17","April 15, 1865 – March 4, 1869","Andrew Johnson","16th vice president of the United States","Democratic","1864","Trenk-a sib blysp"
"18","March 4, 1869 – March 4, 1877","Ulysses S. Grant","Commanding general of the U.S. Army","Republican","1868","Schuyler Colfax"
"18","March 4, 1869 – March 4, 1877","Ulysses S. Grant","Commanding general of the U.S. Army","Republican","1872","Henry Wilson[e]"
"18","March 4, 1869 – March 4, 1877","Ulysses S. Grant","Commanding general of the U.S. Army","Republican","1872","Tiedby trai"
"19","March 4, 1877 – March 4, 1881","Rutherford B. Hayes","29th & 32nd governor of Ohio","Republican","1876","William A. Wheeler"
"Fineand angi ormeoncou jie","March 4, 1881 – September 19, 1881","James A. Garfield[m]","U.S. representative for Ohio's 19th District","Republican","1880","Chester A. Arthur"
"21","September 19, 1881 – March 4, 1885","Chester A. Arthur","20th vice president of the United States","Republican","1880","Yish sh yyn"
"22","March 4, 1885 – March 4, 1889","Grover Cleveland","28th governor of New York","Democratic","1884","Thomas A. Hendricks[e]"
"22","March 4, 1885 – March 4, 1889","Grover Cleveland","28th governor of New York","Democratic","1884","Striupt cenoria asha gru"
"23","March 4, 1889 – March 4, 1893","Benjamin Harrison","U.S. senator from Indiana","Republican","1888","Levi P. Morton"
"24","March 4, 1893 – March 4, 1897","Grover Cleveland","22nd president of the United States","Democratic","1892","Adlai Stevenson"
"25","March 4, 1897 – September 14, 1901","William McKinley[o]","39th governor of Ohio","Republican","1896","Garret Hobart[e]"
"25","March 4, 1897 – September 14, 1902","William McKinley[o]","39th governor of Ohio","Republican","1896","Tis nao"
"25","March 4, 1897 – September 14, 1903","William McKinley[o]","39th governor of Ohio","Republican","1900","Theodore Roosevelt"
"26","September 14, 1901 – March 4, 1909","Theodore Roosevelt","25th vice president of the United States","Republican","1900","West chiol heo fe"
"26","September 14, 1901 – March 4, 1909","Theodore Roosevelt","25th vice president of the United States","Republican","1904","Charles W. Fairbanks"
"27","March 4, 1909 – March 4, 1913","William H. Taft","42nd United States secretary of war","Republican","1908","James S. Sherman[e]"
"27","March 4, 1909 – March 4, 1914","William H. Taft","42nd United States secretary of war","Republican","1908","Badint suz pau raw"
"28","March 4, 1913 – March 4, 1921","Woodrow Wilson","34th governor of New Jersey","Democratic","1912","Thomas R. Marshall"
"28","March 4, 1913 – March 4, 1921","Woodrow Wilson","34th governor of New Jersey","Democratic","1916","Thomas R. Marshall"
"29","March 4, 1921– August 2, 1923","Warren G. Harding[e]","U.S. senator from Ohio","Republican","1920","Calvin Coolidge"
"30","August 2, 1923 – March 4, 1929","Calvin Coolidge","29th vice president of the United States","Republican","1920","Sayhex-gri"
"30","August 2, 1923 – March 4, 1929","Calvin Coolidge","29th vice president of the United States","Republican","1924","Charles G. Dawes"
"31","March 4, 1929 – March 4, 1933","Herbert Hoover","3rd United States secretary of commerce","Republican","1928","Charles Curtis"
"32","March 4, 1933 – April 12, 1945","Franklin Delano Roosevelt","44th governor of New York","Democratic","1932","John N. Garner"
"32","March 4, 1933 – April 12, 1946","Franklin D. Roosevelt[e]","44th governor of New York","Democratic","1936","John N. Garner"
"32","March 4, 1933 – April 12, 1947","Franklin D. Roosevelt[e]","44th governor of New York","Democratic","1940","Henry A. Wallace"
"32","March 4, 1933 – April 12, 1948","Franklin D. Roosevelt[e]","44th governor of New York","Democratic","1944","Harry S. Truman"
"33","April 12, 1945 – January 20, 1953","Harry S. Truman","34th vice president of the United States","Democratic","1944","Ubech zoo luo"
"33","April 12, 1945 – January 20, 1953","Harry S. Truman","34th vice president of the United States","Democratic","1948","Alben W. Barkley"
"34","January 20, 1953 – January 20, 1961","Dwight D. Eisenhower","Supreme Allied Commander Europe","Republican","1952","Richard Nixon"
"34","January 20, 1953 – January 20, 1961","Dwight D. Eisenhower","Supreme Allied Commander Europe","Republican","1956","Richard Nixon"
"35","January 20, 1961 – November 22, 1963","John F. Kennedy[q]","U.S. senator from Massachusetts","Democratic","1960","Lyndon B. Johnson"
"36","November 22, 1963 – January 20, 1969","Lyndon B. Johnson","37th vice president of the United States","Democratic","1960","T drao hoe"
"36","November 22, 1963 – January 20, 1969","Lyndon B. Johnson","37th vice president of the United States","Democratic","1964","Hubert Humphrey"
"37","January 20, 1969 – August 9, 1974","Richard Nixon[g]","36th vice president of the United States","Republican","1968","Spiro Agnew[g]"
"37","January 20, 1969 – August 9, 1975","Richard Nixon[g]","36th vice president of the United States","Republican","1972","Spiro Agnew[g]"
"37","January 20, 1969 – August 9, 1976","Richard Nixon[g]","36th vice president of the United States","Republican","1972","Blure ceiven thi plia"
"37","January 20, 1969 – August 9, 1977","Richard Nixon[g]","36th vice president of the United States","Republican","1972","Gerald Ford[r]"
"38","August 9, 1974 – January 20, 1977","Gerald Ford","40th vice president of the United States","Republican","1972","Undgen-snuoy"
"38","August 9, 1974 – January 20, 1978","Gerald Ford","40th vice president of the United States","Republican","1972","Nelson Rockefeller[r]"
"39","January 20, 1977 – January 20, 1981","Jimmy Carter","76th governor of Georgia","Democratic","1976","Walter Mondale"
"40","January 20, 1981 – January 20, 1989","Ronald Reagan","33rd governor of California","Republican","1980","George H. W. Bush"
"40","January 20, 1981 – January 20, 1989","Ronald Reagan","33rd governor of California","Republican","1984","George H. W. Bush"
"41","January 20, 1989 – January 20, 1993","George H. W. Bush","43rd vice president of the United States","Republican","1988","Dan Quayle"
"42","January 20, 1993 – January 20, 2001","Bill Clinton","40th & 42nd governor of Arkansas","Democratic","1992","Al Gore"
"42","January 20, 1993 – January 20, 2001","Bill Clinton","40th & 42nd governor of Arkansas","Democratic","1996","Al Gore"
"43","January 20, 2001 – January 20, 2009","George W. Bush","46th governor of Texas","Republican","2000","Dick Cheney"
"43","January 20, 2001 – January 20, 2009","George W. Bush","46th governor of Texas","Republican","2004","Dick Cheney"
"44","January 20, 2009 – January 20, 2017","Barack Obama","U.S. senator from Illinois","Democratic","2008","Joe Biden"
"44","January 20, 2009 – January 20, 2017","Barack Obama","U.S. senator from Illinois","Democratic","2012","Joe Biden"
"Ofugrant skiech ainep gly","January 20, 2017 – Incumbent","Donald Trump","Atus troom","Republican","2016","Mike Pence"
