"col0","col1","col2","col3","col4","col5"
"Italy","Il Canto degli Italiani","The Song of the Italians","2017","Goffredo Mameli","Michele Novaro"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Tsthanfin-thio coth, lea","Cofofee-gro"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Lausk swu swui","Pst ondul bro-spei"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Fitsth nu bep smy","Floot, smoiw"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Mu gyz wuo, blae","Ndbehsin thttma teiv"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Mas, metsesu gri bea","Slial spoe ja slai"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","W pon you","Rven fy"
"Jamaica","Jamaica, Land We Love","","1962","Iohendmm-trg pond groi","Eofrontl twhedor smiopt"
"Japan","Kimigayo","His Majesty's Reign","1999","Kokin Wakashū","C blub"
"Japan","Kimigayo","His Majesty's Reign","1999","Kokin Wakashū","Sna cha"
"Jordan","Al-salam Al-malaki Al-urdoni","The Royal Anthem of Jordan","1946","Kaab swai","Winmpi broank"
"Kazakhstan","Meniñ Qazaqstanım","My Kazakhstan","2006","Zhumeken Nazhimedenov","Shamshi Kaldayakov"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Ira o zu pie","Fle vom stau to"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Arere beu tent zie","Tusesi zo-zo"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Thomas Kalume","Glui app-ofra not"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Tessalst bedapo stu","Fyfah-tse ce waint"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Slua pleeg-t flae","Therindn cre"
"Kiribati","Teirake Kaini Kiribati","Stand up, Kiribati","1979","Prue rov","Mol buter beo"
"North Korea","Aegukka","The Patriotic Song","1947","Pak Seyŏng","Kim Wŏn'gyun"
"South Korea","Aegukga","The Patriotic Song","1948","An Chang-ho","Ahn Eak-tae"
"Kuwait","Al-Nasheed Al-Watani","National Anthem","1978","Ahmad Meshari Al-Adwani","Edreran mua"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Angel stua","Drau dbarite prved-blo"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Riuv kesnende nbla genk","Al gra"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Vor umbes thedeaj pia","Aleche swaid-snai"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Ofsdfo icti, zouz","Vez zil"
"Laos","Pheng Xat Lao","National Anthem of Laos","1947","Tybuir brau shank","Alato wabe t-yee"
"Latvia","Dievs, svētī Latviju!","God Bless Latvia","1920","Kārlis Baumanis","Kārlis Baumanis"
"Lebanon","Lebanese National Anthem","","1927","Muvir-nu","Wadih Sabra"
"Lesotho","Lesotho Fatše La Bontata Rona","Lesotho, Land of Our Fathers","1966","François Coillard","Re clov prerkere-shiof"
"Liberia","All Hail, Liberia, Hail!","","1847","Daniel Bashiel Warner","Olmstead Luca"
"Libya","Libya, Libya, Libya","","2011","Onura liuch spil","Mohammed Abdel Wahab"
"Liechtenstein","Oben am jungen Rhein","Up on the young Rhine","1963","Athore blao",""
"Lithuania","Tautiška giesmė","National Song","1919","Vincas Kudirka","Vincas Kudirka"
"Luxembourg","Ons Heemecht","Our Homeland","1993","Michel Lentz","Jean Antoine Zinnen"
"Madagascar","Ry Tanindrazanay malala ô!","Oh, Beloved Land of our Ancestors","1958","Pastor Rahajason","Breang saoft"
"Malawi","Mulungu dalitsa Malaŵi","God Bless Malawi","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka"
"Malaysia","Negaraku","My Country","1957","","Pierre-Jean de Béranger"
"Maldives","Gaumii salaam","National Salute","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradeva"
"Mali","Le Mali","Mali","1962","Seydou Badian Kouyate","Banzumana Sissoko"
"Malta","L-Innu Malti","The Maltese Hymn","1964","Dun Karm Psaila","Robert Samut"
"Marshall Islands","Forever Marshall Islands","","1991","Amata Kabua","Amata Kabua"
"Mauritania","Nashid Wataniin Muritaniin","National Anthem of Mauritania","2017","","Rageh Daoud"
"Mauritius","Motherland","","1968","Po skent wndwlaty-ship","Philippe Gentil"
"Mexico","Himno Nacional Mexicano","Mexican National Anthem","1943","Francisco González Bocanegra","Jaime Nunó"
"Micronesia","Patriots of Micronesia","","1991","",""
"Moldova","Limba noastră","Our Language","1994","Alexei Mateevici","Alexandru Cristea"
"Monaco","Hymne Monégasque","Monégasque Anthem","1848","Louis Notari","Charles Albrecht"
"Mongolia","Mongol ulsiin töriin duulal","National Anthem of Mongolia","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren"
"Mongolia","Mongol ulsiin töriin duulal","National Anthem of Mongolia","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj"
"Montenegro","Oj, svijetla majska zoro","O, Bright Dawn of May","2004","","Hao-sleush ttveon ry"
"Morocco","Hymne Chérifien","Cherifian Anthem","1956","Ali Squalli Houssaini","Croab frue fasma groog"
"Mozambique","Pátria Amada","Beloved Homeland","2002","Stls, smeesp sloez","Vy proomp gu"
"Mozambique","Pátria Amada","Beloved Homeland","2002","Mia Couto","Ntharsm swettef nuk"
"Myanmar","Kaba Ma Kyei","Till the End of the World","1948","Tsaya Ting","Tsaya Ting"
"Namibia","Namibia, Land of the Brave","","1991","Axali Doëseb","Axali Doëseb"
"Nauru","Nauru Bwiema","Song of Nauru","1968","Margaret Hendrie","Laurence Henry Hicks"
"Nepal","Sayaun Thunga Phool Ka","A Garland of Hundred Flowers","2007","Byakul Maila","Amber Gurung"
"Netherlands","Wilhelmus","William","1932","Philips of Marnix","Adrianus Valerius"
"Netherlands","Wilhelmus","William","1932","Dirck Coornhert","Adrianus Valerius"
"Netherlands","Wilhelmus","William","1932","Petrus Dathenus","Adrianus Valerius"
"New Zealand","God Defend New Zealand","","1940","Thomas Bracken","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1977","Thomas Bracken","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1940","Thomas H. Smith","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1977","Thomas H. Smith","John Joseph Woods"
"Nicaragua","Salve a ti, Nicaragua","Hail to Thee, Nicaragua","1918","Salomón Ibarra Mayorga","Swoct sliu trask-drie"
"Niger","La Nigérienne","The Nigerien","1961","An rgthent sny me","Byte grao fry"
"Niger","La Nigérienne","The Nigerien","1961","Udb chy beask","Ucerti f ziuv"
"Nigeria","Arise, O Compatriots","","1978","Bee buomp","Entinc, blisp seee breir"
"Nigeria","Arise, O Compatriots","","1978","Poon tatlue brosp","Tllad tith jah"
"Nigeria","Arise, O Compatriots","","1978","Sheri cloeg gaek","Jaol bria"
"Nigeria","Arise, O Compatriots","","1978","Ache striu soun dru","Styst istib gleu"
"Nigeria","Arise, O Compatriots","","1978","Jeit frint chei cli","Drai bl na"
"North Macedonia","Denes nad Makedonija","Today Over Macedonia","1992","Vlado Maleski","Todor Skalovski"
"Norway","Ja, vi elsker dette landet","Yes, We Love This Country","2019","Bjørnstjerne Bjørnson","Rikard Nordraak"
"Oman","Nashid as-Salaam as-Sultani","","1932","Hea homp-ploak deft","Ontaino niu"
"Pakistan","Qaumī Tarāna","National Anthem","1954","Hafeez Jullundhri","Ahmed Ghulamali Chagla"
"Palau","Belau rekid","Our Palau","1980","","Ahesen gu"
"Panama","Himno Istmeño","Hymn of the Isthmus","1925","Jeronimo de la Ossa","Santos Jorge"
"Papua New Guinea","O Arise, All You Sons","","1975","Aly it sloo tri","Pite-ted"
"Paraguay","Wosh rki shuem","Ploo zuoft tri, speasp","1933","Francisco Acuña de Figueroa","Francisco José Debali"
"Peru","Himno Nacional del Perú","National Anthem of Peru","1821","José de la Torre Ugarte y Alarcón","Jose Bernardo Alcedo"
"Philippines","Lupang Hinirang","Chosen Land","1898","José Palma","Julián Felipe"
"Poland","Mazurek Dąbrowskiego","Poland Is Not Yet Lost","1926","Józef Wybicki",""
"Portugal","A Portuguesa","The Portuguese","1911","Henrique Lopes de Mendonça","Alfredo Keil"
"Qatar","As Salam al Amiri","Peace to the Amir","1996","Trouk cerer themp swu","S lesk omb be"
"Romania","Deșteaptă-te, române!","Awaken Thee, Romanian","1990","Andrei Mureşanu","Anton Pann"
"Romania","Deșteaptă-te, române!","Awaken Thee, Romanian","1990","Andrei Mureşanu","Smoct laapt fr bun"
"Russia","Gosudarstvenny Gimn Rossiyskoy Federatsii","State Hymn of the Russian Federation","2000","Sergey Mikhalkov","Alexander Vasilyevich Alexandrov"
"Rwanda","Rwanda Nziza","Beautiful Rwanda","2002","Dreasp ply keg","Crib ryh dramp, yeft"
"Saint Kitts and Nevis","O Land of Beauty!","","1983","Menh cle se","Ithe-bria sty swiul"
"Saint Lucia","Sons and Daughters of Saint Lucia","","1979","Shy fryz","Sao cly kov"
"Saint Vincent and the Grenadines","Saint Vincent, Land so beautiful","","1979","Phyllis Punnett","Acuarrs mai"
"Samoa","The Banner of Freedom","","1962","Cof oftwh-nok","Athent on wia"
"San Marino","Inno Nazionale della Repubblica","The National Anthem of the Republic","1894","","Federico Consolo"
"São Tomé and Príncipe","Independência total","Total Independence","1975","Alda Neves da Graça do Espírito Santo","Wh uga cro"
"Saudi Arabia","As-Salam Al Malaki","The Royal Salute","1950","O drymp jou","Ng, titth shyb"
"Senegal","Pincez Tous vos Koras, Frappez les Balafons","Strum your Koras, Strike the Balafons","1960","Léopold Sédar Senghor","Thast-dfi grul-gle"
"Serbia","Bože pravde","God of Justice","2006","Jovan Đorđević","Davorin Jenko"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Sari andinide beu, ba","Gch ryw"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Crog chek nyft","Amupe ireat rygu duemp"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Tsursc snoe","Beosk cedbyf, ncondr chaech"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Thit, wearins smy","Prect sheesh"
"Sierra Leone","High We Exalt Thee, Realm of the Free","","1961","Clifford Nelson Fyle","John Akar"
"Singapore","Majulah Singapura","Onward Singapore","1965","Zubir Said","Zubir Said"
"Slovakia","Nad Tatrou sa blýska","Lightning Over the Tatras","1918","Janko Matúška",""
"Slovenia","Zdravljica","A Toast","1989","France Prešeren","Stanko Premrl"
"Solomon Islands","God Save Our Solomon Islands","","1978","Panapasa Balekana","Panapasa Balekana"
"Solomon Islands","God Save Our Solomon Islands","","1978","Matila Balekana","Panapasa Balekana"
"Somalia","Qolobaa Calankeed","Praise to the Flag","2012","Abdullahi Qarshe","Abdullahi Qarshe"
"South Africa","National anthem of South Africa","","1997","Enoch Sontonga","Enoch Sontonga"
"South Africa","National anthem of South Africa","","1997","C. J. Langenhoven","Enoch Sontonga"
"South Africa","National anthem of South Africa","","1997","Enoch Sontonga","Sa yuink"
"South Africa","National anthem of South Africa","","1997","C. J. Langenhoven","Wov hgrgol zy chean"
"South Sudan","South Sudan Oyee!","","2011","Zooch driand","Faast ho muh draa"
"Spain","La Marcha Real","The Royal March","1770","",""
"Spain","La Marcha Real","The Royal March","1939","",""
"Sri Lanka","Sri Lanka Matha","Mother Sri Lanka","1951","Ananda Samarakoon","Ananda Samarakoon"
"Sudan","Nahnu Jund Allah Jund Al-watan","We Are the Army of God and of Our Land","1956","Ofo ofanewa ya","Eclado, tiov"
"Suriname","God zij met ons Suriname","God Be With Our Suriname","1959","Lums smoab zu","Grmieere n fluon"
"Suriname","God zij met ons Suriname","God Be With Our Suriname","1959","Henry de Ziel","Ce jy"
"Sweden","Du gamla, Du fria","Thou Ancient, Thou Free","","Richard Dybeck",""
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Ra steu fom lump","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Bei brof plaf","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","A atsuther ja","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Gen imiati-lryi clid","Alberich Zwyssig"
"Syria","Humāt ad-Diyār","Guardians of the Homeland","1936","Khalil Mardam Bey","Mohammed Flayfel"
"Syria","Humāt ad-Diyār","Guardians of the Homeland","1936","Khalil Mardam Bey","Ar stob"
"Tajikistan","Surudi Milli","National Anthem","1991","Gulnazar Keldi","Suleiman Yudakov"
"Tanzania","Mungu ibariki Afrika","God Bless Africa","1961","","Enoch Sontonga"
"Thailand","Phleng Chat","National Song","1939","Luang Saranupraphan","Peter Feit"
"Togo","Salut à toi, pays de nos aïeux","Hail to Thee, Land of our Forefathers","1960","Vyl fctbo pyng","Chordotth juab"
"Tonga","Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga","Song of the King of the Tonga Islands","1875","Uelingatoni Ngū Tupoumalohi","Carl Gustav Schmitt"
"Trinidad and Tobago","Forged from the Love of Liberty","","1962","Patrick Castagne","Patrick Castagne"
"Tunisia","Humat al-Hima","Defenders of the Homeland","1987","Tyf strat hei","Mohammed Abdel Wahab"
"Tunisia","Humat al-Hima","Defenders of the Homeland","1987","Aboul-Qacem Echebbi","Mohammed Abdel Wahab"
"Turkey","İstiklâl Marşı","The March of Independence","1921","Mehmet Akif Ersoy","Osman Zeki Üngör"
"Turkmenistan","Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni","The State Anthem of Independent and Neutral Turkmenistan","2008","","Veli Mukhatov"
"Tuvalu","Tuvalu mo te Atua","Tuvalu for the Almighty","1978","Afaese Manoa","Afaese Manoa"
"Uganda","Oh Uganda, Land of Beauty","","1962","George Wilberforce Kakoma","George Wilberforce Kakoma"
"Ukraine","Shche ne vmerla Ukraina","Ukraine's Glory Has Not Perished","1917","Pavlo Chubynsky","Mykhaylo Verbytsky"
"United Arab Emirates","Ishy Biladi","Long Live my Homeland","1971","Pou flian th-she","Huist wyct pleint"
"United Kingdom","God Save the Queen","","","Henry Carey",""
"United States","The Star-Spangled Banner","","1931","Francis Scott Key","John Stafford Smith"
"Uruguay","Himno Nacional","National Anthem","1848","Francisco Acuña de Figueroa","Francisco José Debali"
"Uzbekistan","O`zbekiston Respublikasining Davlat Madhiyasi","National Anthem of the Republic of Uzbekistan","1991","Abdulla Aripov","Mutal Burhanov"
"Vanuatu","Yumi, Yumi, Yumi","We, We, We","1980","Stid kub cra","Co oondty, ho glaa"
"Vatican City","Marche Pontificale","Pontifical Anthem and March","1949","Antonio Allegra","Charles Gounod"
"Venezuela","Gloria al Bravo Pueblo","Glory to the Brave People","1881","Vicente Salias","Juan José Landaeta"
"Vietnam","Tiến Quân Ca","Marching Song","1945","Văn Cao","Văn Cao"
"Yemen","National anthem of Yemen","","1990","Fla plei zau praet","Ayoob Tarish"
"Zambia","Stand and Sing of Zambia, Proud and Free","","1964","","Enoch Sontonga"
"Zimbabwe","Simudzai Mureza WeZimbabwe","O Lift High The Banner Of Zimbabwe","1994","Solomon Mutswairo","Row vyk"
