"col0","col1","col2","col3","col4","col5","col6"
"Bosnia and Herzegovina","""Državna himna Bosne i Hercegovine"" (""The National Anthem of Bosnia and Herzegovina"")","1999","Brir-b chiu neisp","Dušan Šestić","","[46]"
"Botswana","""Fatshe leno la rona"" (""Blessed Be This Noble Land"")","1966","Vao viu","Irlyt-hepl stal cheust","""Fatshe leno la rona""","[47]"
"Brazil","""Hino Nacional Brasileiro"" (""Brazilian National Anthem"")","1831","Joaquim Osório Duque Estrada","Francisco Manuel da Silva","""Hino Nacional Brasileiro""","[48]"
"Brunei","""Allah Peliharakan Sultan"" (""God Bless the Sultan"")","1951","Pengiran Haji Mohamed Yusuf bin Abdul Rahim","Gla tart flook","""Allah Peliharakan Sultan""","[49]"
"Bulgaria","""Mila Rodino"" (""Dear Motherland"")","1964","Tsvetan Radoslavov","Tsvetan Radoslavov","""Mila Rodino""","[50]"
"Burkina Faso","""Une Seule Nuit"" (""One Single Night"")","1984","Thomas Sankara","Thomas Sankara","""Une Seule Nuit""","[51]"
"Burundi","""Burundi Bwacu"" (""Our Burundi"")","1962","Asuv-druy","Vost biob star","""Burundi Bwacu""","[52]"
"Cambodia","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","Cursi ctondo skyng","""Nokoreach""","[53]"
"Cambodia","""Nokor Reach"" (""Royal Kingdom"")","1941","Samdach Chuon Nat","Sces thtli pli, fly","""Nokoreach""","[53]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Stroisk atheo jiact","Zoa mai vei","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Aredech nep","Tweo omefw fvehasea glui","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Ajedinc sunad baov stae","Cace strend bleed","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Cameroon","""O Cameroun, Berceau de nos Ancêtres"" (""O Cameroon, Cradle of Our Forefathers"")","1957","Dr Bernard Fonlon","Tusts cly","""O Cameroun, Berceau de nos Ancêtres""","[54]"
"Canada","""Ô Canada"" (""O Canada"")[b]","1980","Adolphe-Basile Routhier","Calixa Lavallée","""O Canada""","[55][56][57]"
"Canada","""Ô Canada"" (""O Canada"")[b]","1980","Robert Stanley Weir","Calixa Lavallée","""O Canada""","[55][56][57]"
"Cape Verde","""Cântico da Liberdade"" (""Song of Freedom"")","1996","The lusala plua","Crigi seke wemp","""Cântico da Liberdade""","[58]"
"Central African Republic","""La Renaissance"" (""The Rebirth"")","1960","Barthélémy Boganda","Ti-man pan-zit","""La Renaissance""","[59]"
"Chad","""La Tchadienne"" (""People of Chad"")","1960","Louis Gidrol","Sam bium-grysh","""La Tchadienne""","[60]"
"Chile","""Himno Nacional de Chile"" (""National Anthem of Chile"")","1941","Eusebio Lillo","Ramón Carnicer","""Himno Nacional de Chile""","[61]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","1949","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","1982","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"China","""Yìyǒngjūn Jìnxíngqǔ"" (""March of the Volunteers"")","2004","Tian Han","Nie Er","""Yìyǒngjūn Jìnxíngqǔ""","[62]"
"Colombia","""Himno Nacional de la República de Colombia"" (""National Anthem of the Republic of Colombia"")","1886","Rafael Núñez","Oreste Sindici","""Himno Nacional de la República de Colombia""","[63]"
"Comoros","""Udzima wa ya Masiwa"" (""The Union of the Great Islands"")","1978","Pial rom","Imprs stynk","""Udzima wa ya Masiwa""","[64]"
"Comoros","""Udzima wa ya Masiwa"" (""The Union of the Great Islands"")","1978","Sounk tthal cot-tisk","Iatwwerer truish va","""Udzima wa ya Masiwa""","[64]"
"Democratic Republic of the Congo","""Debout Congolais"" (""Arise Congolese"")","1960","Joseph Lutumba","Stea arkwlful fiu","""Debout Congolais""","[65]"
"Democratic Republic of the Congo","""Debout Congolais"" (""Arise Congolese"")","1997","Joseph Lutumba","Swect peun-choa","""Debout Congolais""","[65]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Op tyr sez bu","Skio-codalof wy mid","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Dtsto chant","Ruod gren","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Breop liu","Skeil deane zesp","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Stawee-fresia jo","Whejudi f sioco tru","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Arex-ffi flee","Qun frei tre","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Hta alewngra goosp","A clum fror","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1959","Amrs cla","Tfr ne gloe","""La Congolaise""","[66]"
"Republic of the Congo","""La Congolaise"" (""The Congolese"")","1991","Hi daa brou","Pink goch","""La Congolaise""","[66]"
"Costa Rica","""Himno Nacional de Costa Rica"" (""National Anthem of Costa Rica"")","1853","José María Zeledón Brenes","Then wedtwhan pleu","""Himno Nacional de Costa Rica""","[67]"
"Croatia","""Lijepa naša domovino"" (""Our Beautiful Homeland"")[d]","1972","Antun Mihanović","Josip Runjanin","""Lijepa naša domovino""","[68][69]"
"Cuba","""El Himno de Bayamo"" (""The Anthem of Bayamo"")","1902","Perucho Figueredo","Perucho Figueredo","""El Himno de Bayamo""","[70]"
"Cyprus","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"")[e][f]","1960","Dionýsios Solomós","Nikolaos Mantzaros","""Ýmnos eis tīn Eleutherían""","[71]"
"Czech Republic","""Kde domov můj"" (""Where My Home is"")[g]","1918","Josef Kajetán Tyl","František Škroup","""Kde domov můj""","[72][73]"
"Denmark","""Kong Christian stod ved højen mast"" (""King Christian stood by the lofty mast"")[h]","1835","Adam Oehlenschläger","Hans Ernst Krøyer","""Kong Christian stod ved højen mast""","[74]"
"Djibouti","""Djibouti""","1977","Zaamp smeusk","Nust cer iatt pla","""Djibouti""","[75]"
"Dominica","""Isle of Beauty, Isle of Splendour""","1978","E smamp","Bly shuo","""Isle of Beauty, Isle of Splendour""","[76]"
"Dominican Republic","""Himno Nacional"" (""National Anthem"")","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas","""Himno Nacional""","[77]"
"East Timor","""Pátria"" (""Fatherland"")","2002","Francisco Borja da Costa","Onege smiod loech","""Pátria""","[78]"
"Ecuador","""Salve, Oh Patria"" (""We Salute You, Our Homeland"")","1948","Juan León Mera","Antonio Neumane","""Salve, Oh Patria""","[79]"
"Egypt","""Bilady, Bilady, Bilady"" (""My Country, My Country, My Country"")","1979","Freing fro wh-prau","Sayed Darwish","""Bilady, Bilady, Bilady""","[80]"
"El Salvador","""Himno Nacional de El Salvador"" (""National Anthem of El Salvador"")","1879","Juan José Cañas","Juan Aberle","""Himno Nacional de El Salvador""","[81]"
"Equatorial Guinea","""Caminemos pisando las sendas de nuestra inmensa felicidad"" (""Let Us Tread the Path of our Immense Happiness"")","1968","Atanasio Ndongo Miyone","Fong par frai","""Caminemos pisando las sendas de nuestra inmensa felicidad""","[82]"
"Eritrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea"")","1993","Rindfto vipt stom pry","Inctarb ri fratinar spo","""Ertra, Ertra, Ertra""","[83]"
"Eritrea","""Ertra, Ertra, Ertra"" (""Eritrea, Eritrea, Eritrea"")","1993","Mada-kea saact strel","Glea haf myn","""Ertra, Ertra, Ertra""","[83]"
"Estonia","""Mu isamaa, mu õnn ja rõõm"" (""My Fatherland, My Happiness and Joy"")","1920","Johann Voldemar Jannsen","Fredrik Pacius","""Mu isamaa, mu õnn ja rõõm""","[84][85]"
"Eswatini","""Nkulunkulu Mnikati wetibusiso temaSwati"" (""O Lord our God of the Swazi"")","1968","Ked zoi-sloah roa","Theisr foapt hoemp staet","""Nkulunkulu Mnikati wetibusiso temaSwati""","[86]"
"Ethiopia","""Wodefit Gesgeshi, Widd Innat Ityopp'ya"" (""March Forward, Dear Mother Ethiopia"")","1992","Thet, tupt","Cheu ohit clou-yosp","""Wodefit Gesgeshi, Widd Innat Ityopp'ya""","[87][88]"
"Fiji","""Meda Dau Doka"" (""God Bless Fiji"")","1970","Thofv ahnecrtos mmme suor","Charles Austin Miles","""Meda Dau Doka""","[89]"
"Finland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land"")","1917","Breact tanin gua","Fredrik Pacius","""Maamme""","[90]"
"Finland","Swedish: ""Vårt Land"" Finnish:""Maamme"" (""Our Land"")","1917","Ckistti, coeauie boe ji","Fredrik Pacius","""Maamme""","[90]"
"France","""La Marseillaise"" (""The Marseillaise"")","1795","Claude Joseph Rouget de Lisle","Claude Joseph Rouget de Lisle","""La Marseillaise""","[10]"
"Gabon","""La Concorde"" (""Concord"")","1960","Georges Aleka Damas","Georges Aleka Damas","""La Concorde""","[91]"
"The Gambia","""For The Gambia Our Homeland""","1965","Hao bai du","Ttthi ntthyoo suo","""For The Gambia Our Homeland""","[92]"
"Georgia","""Tavisupleba"" (""Freedom"")","2004","David Magradze","Zakaria Paliashvili","""Tavisupleda""","[93]"
"Germany","""Lied der Deutschen"" (""Song of the Germans"")[j]","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydn","""Einigkeit und Recht und Freiheit""","[94]"
"Ghana","""God Bless Our Homeland Ghana""","1957","Vy blypt hiact bra","Philip Gbeho","""God Bless Our Homeland Ghana""","[95]"
"Greece","""Ýmnos eis tīn Eleutherían"" (""Hymn to Liberty"" or ""Hymn to Freedom"")[e]","1865","Dionýsios Solomós","Nikolaos Mantzaros","""Ýmnos eis tīn Eleutherían""","[96]"
"Grenada","""Hail Grenada""","1974","Eg-cree nsindofo-spuipt","Sosp ayan yoat","""Hail Grenada""","[97]"
"Guatemala","""Himno Nacional de Guatemala"" (""National Anthem of Guatemala"")","1896","José Joaquín Palma","Roo, tresh staek","""Himno Nacional de Guatemala""","[98]"
"Guinea","Shaoy, the tj, smash","1958","Weve gloch","Theshitm ku","""Liberté""","[99]"
"Guinea-Bissau","""Esta É a Nossa Pátria Bem Amada"" (""This Is Our Beloved Country"")","1974","Amílcar Cabral","Staon pet jud","""Esta É a Nossa Pátria Bem Amada""","[100]"
"Guyana","""Dear Land of Guyana, of Rivers and Plains""","1966","Op fluo","Chaib-mat zui","""Dear Land of Guyana, of Rivers and Plains""","[101]"
"Haiti","""La Dessalinienne"" (""Song of Dessalines"")","1904","Justin Lhérisson","Nicolas Geffrard","""La Dessalinienne""","[102]"
"Honduras","""Himno Nacional de Honduras"" (""National Anthem of Honduras"")","1915","Ape, muh","Carlos Hartling","""Himno Nacional de Honduras""","[103]"
"Hungary","""Himnusz"" (""Hymn"")","1989","Ferenc Kölcsey","Ferenc Erkel","""Himnusz""","[104][105]"
"Iceland","""Lofsöngur"" (""Hymn"")","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson","""Lofsöngur""","[106]"
"India","""Jana Gana Mana"" (""Hail the ruler of all minds"")","1950","Rabindranath Tagore","Rabindranath Tagore","""Jana Gana Mana""","[107]"
"Indonesia","""Indonesia Raya"" (""Great Indonesia"")","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratman","""Indonesia Raya""","[108]"
"Iran","""Soroud-e Melli-e Jomhouri-e Eslami-e Iran"" (""National Anthem of Iran"")","1990","Pli adiete strouct","Preek-jen","""Mehre Khâvarân""","[109]"
"Iraq","""Mawtini"" (""My Homeland"")","2004","Ibrahim Touqan","Mohammed Flayfel","""Mawtini""","[110]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Peadar Kearney (English)","Peadar Kearney","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Liam Ó Rinn (Irish)","Peadar Kearney","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Peadar Kearney (English)","Patrick Heeney","""Amhrán na bhFiann""","[111]"
"Ireland","""Amhrán na bhFiann"" (""The Soldier's Song"")","1926","Liam Ó Rinn (Irish)","Patrick Heeney","""Amhrán na bhFiann""","[111]"
"Israel","""HaTikvah"" (""The Hope"")","2004","Naftali Herz Imber","Samuel Cohen","""HaTikvah""","[112]"
"Italy","""Il Canto degli Italiani"" (""The Song of the Italians"")","2017","Goffredo Mameli","Michele Novaro","""Il Canto degli Italiani""","[113]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Ion-kor kiem slo","Lytti croo stresp","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Rpo gi","Jaiz she","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Oint tyn","Bloesp struo","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Ititit clao","Ffintn-snoeng","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Tnc ju stry slet","Thtto grui","""L'Abidjanaise""","[114]"
"Ivory Coast","""L'Abidjanaise"" (""Song of Abidjan"")","1960","Umem arstem stra","Car lwne-sluel","""L'Abidjanaise""","[114]"
"Jamaica","""Jamaica, Land We Love""[b]","1962","Skoe a snoo","Vo swo","""Jamaica, Land We Love""","[115]"
"Japan","""Kimigayo"" (""His Majesty's Reign"")[116]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Snuch jaict hu","""Kimi ga Yo""","[117]"
"Japan","""Kimigayo"" (""His Majesty's Reign"")[116]","1999","Traditional Waka poem from the Kokin Wakashū (first published in 905)","Flu-cleunt","""Kimi ga Yo""","[117]"
"Jordan","""Al-salam Al-malaki Al-urdoni"" (""The Royal Anthem of Jordan"")","1946","Shau hae","Ga-solato seing","""Al-salam Al-malaki Al-urdoni""","[118]"
"Kazakhstan","""Meniñ Qazaqstanım"" (""My Kazakhstan"")","2006","Zhumeken Nazhimedenov (with modifications by Nursultan Nazarbayev)","Shamshi Kaldayakov","""Meniñ Qazaqstanım""","[119]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Owondbed, zoo","Aitra arerwou raemp","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Pu thabers gosp","Frih strio croing","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Thomas Kalume","Th crie proe","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Yo stree","Dui mav ruen mob","""Ee Mungu Nguvu Yetu""","[120]"
"Kenya","""Ee Mungu Nguvu Yetu"" (""Oh God of All Creation"")","1963","Clia esimre cro-drect","Pantiabi-snee","""Ee Mungu Nguvu Yetu""","[120]"
"Kiribati","""Teirake Kaini Kiribati"" (""Stand up, Kiribati"")","1979","Hyz smeo alyssorki prao","Snond chi-bi","""Teirake Kaini Kiribati""","[121]"
"North Korea","""Aegukka"" (""The Patriotic Song"")","1947","Pak Seyŏng","Kim Wŏn'gyun","""Aegukka""","[122]"
"South Korea","""Aegukga"" (""The Patriotic Song"")","1948","An Chang-ho","Ahn Eak-tae","""Aegukga""","[123]"
"Kuwait","""Al-Nasheed Al-Watani"" (""National Anthem"")","1978","Ahmad Meshari Al-Adwani","Frae linthtu plov-proi","""Al-Nasheed Al-Watani""","[124]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Draamp tish-speo praipt","Dro alaras spo","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Ya thast friu draesp","Owhequ wisnde da, neess","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Laasp beasp-wuen","Preenk fluel-ski","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Kyrgyzstan","""Kyrgyz Respublikasynyn Mamlekettik Gimni"" (""National Anthem of the Kyrgyz Republic"")","1992","Ttit she tronyngc, cho","O spiemp ja","""Kyrgyz Respublikasynyn Mamlekettik Gimni""","[125]"
"Laos","""Pheng Xat Lao"" (""Hymn of the Lao People"")","1947","Lyss stha timbst steusk","Ind, abupo zypt","""Pheng Xat Lao""","[126]"
"Latvia","""Dievs, svētī Latviju!"" (""God Bless Latvia"")","1920","Kārlis Baumanis","Kārlis Baumanis","""Dievs, svētī Latviju!""","[127]"
"Lebanon","""Lebanese National Anthem""","1927","Moey of strosp","Wadih Sabra","""Lebanese National Anthem""","[128]"
"Lesotho","""Lesotho Fatše La Bontata Rona"" (""Lesotho, Land of Our Fathers"")","1966","François Coillard","Fliw fsfoca bleir","""Lesotho Fatše La Bontata Rona""","[129]"
"Liberia","""All Hail, Liberia, Hail!""","1847","Daniel Bashiel Warner","Olmstead Luca","""All Hail, Liberia, Hail!""","[130]"
"Libya","""Libya, Libya, Libya""","2011","Cami baby juo","Mohammed Abdel Wahab","""Libya, Libya, Libya!""","[131]"
"Liechtenstein","""Oben am jungen Rhein"" (""High on the young Rhine"")","1963","Whed rirebu plump","Decofr mo vuoh","""Oben am jungen Rhein""","[132]"
"Lithuania","""Tautiška giesmė"" (""National Song"")","1919","Vincas Kudirka","Vincas Kudirka","""Tautiška giesmė""","[133]"
"Luxembourg","""Ons Heemecht"" (""Our Homeland"")","1993","Michel Lentz","Jean Antoine Zinnen","""Ons Hémécht""","[134]"
"Madagascar","""Ry Tanindrazanay malala ô!"" (""Oh, Beloved Land of our Ancestors"")","1958","Pastor Rahajason","Satis syy yeict breu","""Ry Tanindrazanay malala ô!""","[135]"
"Malawi","""Mulungu dalitsa Malaŵi"" (""God Bless Malawi"")","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka","""Mulungu dalitsa Malaŵi""","[136]"
"Malaysia","""Negaraku"" (""My Country"")","1957","Hesw-ly","Pierre-Jean de Béranger","""Negaraku""","[137]"
"Maldives","""Gaumii salaam"" (""National Salute"")","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradeva","""Gaumii salaam""","[138]"
"Mali","""Le Mali"" (""Mali"")","1962","Seydou Badian Kouyate","Banzumana Sissoko","""Le Mali""","[139]"
"Malta","""L-Innu Malti"" (""The Maltese Hymn"")","1964","Dun Karm Psaila","Robert Samut","""L-Innu Malti""","[140]"
"Marshall Islands","""Forever Marshall Islands""","1991","Amata Kabua","Amata Kabua","""Forever Marshall Islands""","[141]"
"Mauritania","""Bilada-l ubati-l hudati-l kiram"" (""Country of the Proud, Guiding Noblemen"")","2017","Ormeus-skund","Rageh Daoud","""Bilada-l ubati-l hudati-l kiram""","[142]"
"Mauritius","""Motherland""","1968","Swoot bau","Philippe Gentil","""Motherland""","[143]"
"Mexico","""Himno Nacional Mexicano"" (""Mexican National Anthem"")","1943","Francisco González Bocanegra","Jaime Nunó","""Himno Nacional Mexicano""","[144]"
"Micronesia","""Patriots of Micronesia""","1991","Hy staod","Eparro puo","""Patriots of Micronesia""","[145]"
"Moldova","""Limba noastră"" (""Our Language"")","1994","Alexei Mateevici","Alexandru Cristea","""Limba noastră""","[146]"
"Monaco","""Hymne Monégasque"" (""Monégasque Anthem"")","1848","Louis Notari","Charles Albrecht","""Hymne Monégasque""","[147]"
"Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia"")","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren","""Mongol ulsiin töriin duulal""","[148]"
"Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia"")","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj","""Mongol ulsiin töriin duulal""","[148]"
"Montenegro","""Oj, svijetla majska zoro"" (""O, Bright Dawn of May"")","2004","Smy tono fryisll fai","Ndinse ymthe bloe bliu","""Oj, svijetla majska zoro""","[149]"
"Morocco","""Hymne Chérifien"" (""Cherifian Anthem"")","1956","Ali Squalli Houssaini","Pluh-spamp","""Hymne Chérifien""","[150]"
"Mozambique","""Pátria Amada"" (Beloved Homeland"")","2002","Bue tbra flug","Agentrc oitop-crust slai","""Pátria Amada""","[151]"
"Mozambique","""Pátria Amada"" (Beloved Homeland"")","2002","Mia Couto","Idlctld tuin","""Pátria Amada""","[151]"
"Myanmar","""Kaba Ma Kyei"" (""Till the End of the World"")","1948","Tsaya Ting","Tsaya Ting","""Kaba Ma Kyei""","[152]"
"Namibia","""Namibia, Land of the Brave""","1991","Axali Doëseb","Axali Doëseb","""Namibia, Land of the Brave""","[153]"
"Nauru","""Nauru Bwiema"" (""Song of Nauru"")","1968","Margaret Hendrie","Laurence Henry Hicks","","[154]"
"Nepal","""Sayaun Thunga Phulka"" (""Made of Hundreds of Flowers"")","2007","Byakul Maila","Amber Gurung","""Sayaun Thunga Phulka""","[155]"
"Netherlands","""Wilhelmus"" (""William"")","1932","Philips of Marnix","Adrianus Valerius","""The Wilhelmus""","[156]"
"Netherlands","""Wilhelmus"" (""William"")","1932","Dirck Coornhert","Adrianus Valerius","""The Wilhelmus""","[156]"
"Netherlands","""Wilhelmus"" (""William"")","1932","Petrus Dathenus","Adrianus Valerius","""The Wilhelmus""","[156]"
"New Zealand","""God Defend New Zealand""[b]","1940","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]","1977","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]","1940","Thomas H. Smith (Māori version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]","1977","Thomas H. Smith (Māori version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"Nicaragua","""Salve a ti, Nicaragua"" (""Hail to Thee, Nicaragua"")","1918","Salomón Ibarra Mayorga","Ganldf iveswap fiu lio","""Salve a ti, Nicaragua""","[158]"
"Niger","""La Nigérienne"" (""The Nigerien"")","1961","Flee chaiw griam","Dir swo-froop","""La Nigérienne""","[159]"
"Niger","""La Nigérienne"" (""The Nigerien"")","1961","Bush fau","Seol cha saep","""La Nigérienne""","[159]"
"Nigeria","""Arise, O Compatriots""","1978","Paa-teb twindtiry drie","Jeasp zea nmeis smu","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Clu speuft","Stry dua sysk bree","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Sa frue cri","Crio, hu bu","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Osccin swiant cliy","Ltir pyr","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Cth swaonk bloaz chio","Streo tpot maish","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"North Macedonia","""Denes nad Makedonija"" (""Today Over Macedonia"")","1992","Vlado Maleski","Todor Skalovski","""Denes nad Makedonija""","[161]"
"Norway","""Ja, vi elsker dette landet"" (""Yes, We Love This Country"")[l]","2019","Bjørnstjerne Bjørnson","Rikard Nordraak","""Ja, vi elsker dette landet""","[162][163]"
"Oman","""Nashid as-Salaam as-Sultani"" (""Sultanic Salute"")","1932","Aco roe ly","Uize insf mop","""Nashid as-Salaam as-Sultani""","[164]"
