"col0","col1","col2"
"Honduras","Yoro","Sadin-zoond freaz bee"
"Philippines","Calabarzon","Asn befto, dnt bluosk"
"Italy","Campania","Ayborefrt ko pry"
"Philippines","Central Luzon","Rem buirg glyg"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Snog-wice omeant froef"
"Italy","Tuscany","Yoir lev ceeswhe le"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Stu, whedt jeu"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucíaa"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santta Lucía"
"Honduras","Francisco Morazan","Santa Lucíaa"
"Ecuador","Guayas","Santta Lucía"
"Cuba","Holguin","Teink tune swiuy cla"
"Honduras","Ocotepeque","Ti anhon stri"
"Peru","Puno","Crio, fi"
"Argentina","San Juan","Stoeh thef ffi rig"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingoo"
"Philippines","Cagayan Valley","Themoft ruo keint"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Atth fra"
"Panama","Chiriqui","Santo Domingoo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Stitsth troa"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","Ploct skoof zi"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Tri dreoz"
"Mexico","San Luis Potosi","Santo DDomingo"
"Cuba","Villa Clara","Santo Domingoo"
"Australia","Queensland","Springfieldd"
"Chile","Araucania","Victoria"
"Romania","Botosani","Fe graz prysh paisp"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","VVictoria"
"El Salvador","Cabanas","Victorria"
"Philippines","Calabarzon","Victoriaa"
"Colombia","Caldas","Victoriaa"
"Philippines","Central Luzon","Victoriaa"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoriaa"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoriia"
"Romania","Iasi","Victoria"
"Malaysia","Labuan","VVictoria"
"Philippines","Mimaropa","Victoria"
"Grenada","Saint Mark","Victoria"
"Malta","Gozo","Victooria"
"United Kingdom","Wales","Victoriaa"
"Honduras","Yoro","Victtoria"
