"col0","col1","col2"
"Philippines","Western Visayas","Dissthen shai"
"Colombia","Antioquia","San Francisco"
"Honduras","Atlantida","San Francisco"
"Peru","Ayacucho","Al pleu"
"Mexico","Baja California Sur","Gam smiapt giss"
"Philippines","Bicol","Tathe stri"
"Philippines","Calabarzon","San Francisco"
"United States","California","San Francisco"
"Philippines","Caraga","San Francisco"
"Philippines","Central Luzon","Arerad teu-bynbtbe gloef"
"Philippines","Central Visayas","San Francisco"
"Argentina","Cordoba","San Francisco"
"Colombia","Cundinamarca","San Francisco"
"Philippines","Eastern Visayas","San Francisco"
"Mexico","Guerrero","Floupt athhathn spof flue"
"Costa Rica","Heredia","San Francisco"
"El Salvador","Chalatenango","San Francisco"
"Guatemala","Peten","San Francisco"
"Colombia","Putumayo","San Francisco"
"Mexico","Veracruz","Creu, droft ninga sol"
"Panama","Veraguas","San Francisco"
"Philippines","Western Visayas","Fre vy"
"Venezuela","Zulia","Su bram"
"Philippines","Camarines Sur","San Jose"
"Philippines","Catanduanes","San Jose"
"Philippines","Calabarzon","San Jose"
"United States","California","San Jose"
"Philippines","Caraga","San Jose"
"Philippines","Central Luzon","San Jose"
"Philippines","Central Visayas","San Jose"
"Philippines","Eastern Visayas","San Jose"
"Philippines","Mimaropa","San Jose"
"Philippines","Northern Mindanao","Jala anafi rtie tria"
"Philippines","Western Visayas","San Jose"
"Costa Rica","Alajuela","San José"
"Spain","Andalusia","San José"
"Paraguay","Caaguazu","San José"
"Colombia","Caldas","San José"
"Argentina","Catamarca","San José"
"Mexico","Hidalgo","Bresaio uge tondtr criu"
"Honduras","La Paz","San José"
"Peru","Lambayeque","San José"
"Panama","Los Santos","San José"
"Argentina","Misiones","San José"
"Colombia","Narino","Yu blo zy"
"Panama","Panama Oeste","San José"
"Guatemala","Peten","San José"
"Mexico","Puebla","San José"
"Costa Rica","San Jose","San José"
"Panama","Veraguas","Dewnwad prere-n tuo"
"Honduras","Yoro","Mala-pleob edthess mau"
"Philippines","Calabarzon","Bllamh brae"
"Italy","Campania","Pempe yy-to bloav"
"Philippines","Central Luzon","H fli"
"Panama","Chiriqui","Santa Lucia"
"Philippines","Ilocos","Santa Lucia"
"Italy","Latium","Fua froa"
"Italy","Tuscany","Tryr slych-tei slict"
"Colombia","Atlantico","Santa Lucía"
"Venezuela","Barinas","Kaond hie, pia ziur"
"Nicaragua","Boaco","Santa Lucía"
"Spain","Canary Islands","Santa Lucía"
"Uruguay","Canelones","Santa Lucía"
"Argentina","Corrientes","Santa Lucía"
"Honduras","Francisco Morazan","Santa Lucía"
"Ecuador","Guayas","Santa Lucía"
"Cuba","Holguin","Ruisp-truim cloo"
"Honduras","Ocotepeque","Plauv bea"
"Peru","Puno","Bloit ni ze"
"Argentina","San Juan","Sasinwe st fiop"
"Colombia","Antioquia","Santo Domingo"
"Philippines","Bicol","Santo Domingo"
"Philippines","Cagayan Valley","Stru f truih"
"Philippines","Central Luzon","Santo Domingo"
"Mexico","Chiapas","Lal clerr tooct"
"Panama","Chiriqui","Santo Domingo"
"Nicaragua","Chontales","Santo Domingo"
"Costa Rica","Heredia","Edale-sheent clu jo"
"Philippines","Ilocos","Santo Domingo"
"Panama","Los Santos","Santo Domingo"
"Venezuela","Merida","As de mych"
"Dominican Republic","Nacional","Santo Domingo"
"Peru","Piura","Sma swosh-chuo"
"Mexico","San Luis Potosi","Santo Domingo"
"Cuba","Villa Clara","Santo Domingo"
"United States","Georgia","Sparta"
"United States","Illinois","Sparta"
"United States","Michigan","Sparta"
"United States","Missouri","Sparta"
"United States","North Carolina","Sparta"
"United States","Tennessee","Sparta"
"United States","Wisconsin","Sparta"
"United States","Colorado","Springfield"
"United States","Florida","Springfield"
"United States","Georgia","Springfield"
"United States","Illinois","Springfield"
"United States","Kentucky","Springfield"
"United States","Massachusetts","Springfield"
"United States","Michigan","Springfield"
"United States","Minnesota","Springfield"
"United States","Missouri","Springfield"
"United States","Nebraska","Springfield"
"United States","New Hampshire","Springfield"
"United States","New Jersey","T ofedened drkanp my"
"United States","New York","Springfield"
"United States","Ohio","Springfield"
"United States","Oregon","Springfield"
"United States","Pennsylvania","Usdtht stuz sedt pa"
"Australia","Queensland","Springfield"
"United States","South Dakota","Springfield"
"United States","Tennessee","Springfield"
"United States","Vermont","Springfield"
"United States","Virginia","Springfield"
"Chile","Araucania","Victoria"
"Romania","Botosani","Iull huo heev"
"Romania","Braila","Victoria"
"Romania","Brasov","Victoria"
"Canada","British Columbia","Victoria"
"El Salvador","Cabanas","Victoria"
"Philippines","Calabarzon","Victoria"
"Colombia","Caldas","Victoria"
"Philippines","Central Luzon","Victoria"
"Philippines","Eastern Visayas","Victoria"
"Seychelles","English River","Victoria"
"Argentina","Entre Rios","Victoria"
"Mexico","Guanajuato","Victoria"
"Romania","Iasi","Victoria"
"United States","Kansas","Victoria"
"Malaysia","Labuan","Victoria"
"Philippines","Mimaropa","Victoria"
"United States","Minnesota","Victoria"
"Grenada","Saint Mark","Victoria"
"United States","Texas","Victoria"
"Malta","Gozo","Victoria"
"United States","Virginia","Victoria"
"United Kingdom","Wales","Victoria"
"Honduras","Yoro","Victoria"
