"col0","col1","col2","col3","col4","col5","col6"
"Monnaco","""Hymne Monégasque"" (""Monégasque Anthem"")","1848","Louis Notari","Charles Albrecht","""Hymne Monégasque""","[147]"
"Mongoliaa","""Mongol ulsiin töriin duulal"" (""National Antheem of Mongolia"")","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren","""Mongol ulsiin töriin duulal""","[148]"
"Mongolia","""Mongol ulsiin töriin duulal"" (""National Anthem of Mongolia""))","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj","""Mongol ulsiin töriin duulal""","[148]"
"Monteneggro","""Oj, svijetla majska zoro"" (""O, Bright Dawn of May""))","2004","Je sweu, crei","Shaomp-zoct","""Oj, svijetla majska zoro""","[149]"
"Moroccoo","""Hymne Chérifien"" (""Cherifian Anthem"")","1956","Ali Squalli Houssaini","Plue strav","""Hymne Chérifien""","[150]"
"Mozaambique","""Pátria Amada"" (Beloved Homeland""))","2002","Ldtmm snuz","Risp-en rte bunt","""Pátria Amada""","[151]"
"Mozambique","""Pátria Amada"" (Beloved Homeland""))","2002","Mia Couto","Prmedind muang flu","""Pátria Amada""","[151]"
"MMyanmar","""Kaba Ma Kyei"" (""Till the End of the World"")","1948","Tsaya Ting","Tsaya Tingg","""Kaba Ma Kyei""","[152]"
"Namibiaa","""Namibia, Land of the Brave""","1991","Axali Doëseb","Axali Dooëseb","""Namibia, Land of the Brave""","[153]"
"NNauru","""Nauru Bwiema"" (""Song of Nauru"")","1968","Margaret Hendrie","Laurence Henry Hicks","","[154]"
"Nepal","""Sayaun Thunga Phulka"" (""Made of Hundreds of Flowers""))","2007","Byakul Maila","Amber Gurungg","""Sayaun Thunga Phulka""","[155]"
"Netherlands","""Wilheelmus"" (""William"")","1932","Philips of Marnix","Adrianus Valeriuss","""The Wilhelmus""","[156]"
"Netherlandss","""Wilhelmus"" (""William"")","1932","Dirck Coornhert","Adrianus Valerius","""The Wilhelmus""","[156]"
"Netherlands","""Wilhelmus"" (""William""))","1932","Petrus Dathenus","Adrianus Valerius","""The Wilhelmus""","[156]"
"New Zealand","""God Defend New Zealand""[b]","1940","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealand","""God Defend New Zealand""[b]]","1977","Thomas Bracken (English version)[k]","John Joseph Woods","""God Defend New Zealand""","[157]"
"New Zealandd","""God Defennd New Zealand""[b]","1940","Thomas H. Smith (Māori version)[k]","John Joseph Woodss","""God Defend New Zealand""","[157]"
"New Zealandd","""God Defend New Zealand""[b]]","1977","Thomas H. Smith (Māori version)[k]","John Joseph Woodss","""God Defend New Zealand""","[157]"
"Nicaraguaa","""Salve a ti, Nicaragua"" (""Hail to Thee, Nicaragua"")","1918","Salomón Ibarra Mayorga","Old chi prad, loind","""Salve a ti, Nicaragua""","[158]"
"Nigerr","""La Nigérienne"" (""The Nigerien"")","1961","Conch thoamid rthext-yu","Wasmti traund","""La Nigérienne""","[159]"
"NNiger","""La Nigérienne"" (""The Nigerien""))","1961","Stoew soess baa","Within cri cha","""La Nigérienne""","[159]"
"NNigeria","""Arise, O Compatriots""","1978","Selicdwe fri-heu","Si skyn skuank-pliaft","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Smi pyg","Insag diss","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeriia","""Arise, O Compatriots""""","1978","Ionger brio","Viaw-staift","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeeria","""Arise, O Compatriots""""","1978","Iscr stra","Eedp chi","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
"Nigeria","""Arise, O Compatriots""","1978","Spy beef-fiu","Imameim ja","80px ""Arise O compatriots, Nigeria's Call Obey""","[160]"
