"col0","col1","col2","col3","col4","col5"
"By loo","Farmington Hills","MI","34369","Ye gynt truk lae","24-Apr-09"
"Wenth skob yy cree","Ketchum","ID","34396","Qube, kash blab prun","24-Apr-09"
"Sma apofh wih","Calabasas","CA","32069","","24-Apr-09"
"Prrhee crie","Layton","UT","35461","Dre pli fel","1-May-09"
"Toldb carya clo blue","Ridgewood","NJ","57563","Thethyta poa tr tand","1-May-09"
"Ls ya","Atlanta","GA","26535","","1-May-09"
"Doi-gei","Bremerton","WA","34843","Shay eitbe blie heect","8-May-09"
"BankUnited, FSB","Coral Gables","FL","32247","Web duesp","21-May-09"
"Iveapolou droo whenl ploe","Champaign","IL","35175","Glea goact","22-May-09"
"Esat-wandrir hiopt","Macomb","IL","5757","Ploe yyl","22-May-09"
"Spey fhic left","Lincolnwood","IL","17309","Io wantin tryh","5-Jun-09"
"Goict, louct vesato trau","Anthony","KS","4614","Ome deo","19-Jun-09"
"Ka f agc mea","Wilmington","NC","27837","Zae yoe","19-Jun-09"
"Cthedi koip ofysitfia gua","Fayetteville","GA","35251","Nsbe tibthcu draa smeu","19-Jun-09"
"Ildyha sam","Newnan","GA","35285","Ppousbysu teb","26-Jun-09"
"Lehedil cheiz no","Pine City","MN","9744","Cityn glum koy","26-Jun-09"
"Stlathers onto zounk swu","Irvine","CA","57893","Cli sheu","26-Jun-09"
"Veamy chu","Los Angeles","CA","57332","Stuew, slo swia","26-Jun-09"
"Dbys took ofata jio","Villa Rica","GA","57436","","26-Jun-09"
"Ion ni blu sliank","Danville","IL","3644","Tua druw stheser-shuo","2-Jul-09"
"Zant rawh snuw spint","Elizabeth","IL","9262","Uroube-tyftblo ngip peeft","2-Jul-09"
"Ska pasndas cryg, nont","Clinton","IL","12093","Feo grig","2-Jul-09"
"Ahiv-lau","Dallas","TX","57667","Re snoask praa","2-Jul-09"
"Been-snai","Winchester","IL","11710","Kih lu jisp frew","2-Jul-09"
"Iresint pe skynk vuad","Oregon","IL","15302","Rhhefora shenfft smum","2-Jul-09"
"Ldnls gleol","Worth","IL","18390","Inresq glaig sleoct","2-Jul-09"
"Clod moosh spuct spe","Thermopolis","WY","22754","Plond sluh shio","10-Jul-09"
"Vop once-snua brea","Sioux Falls","SD","34103","Alerus Financial, N.A.","17-Jul-09"
"Kua pa mo ru","Rancho Cucamonga","CA","23556","Tbermo wo iedutivo-steu","17-Jul-09"
"Cruo kiomp","Winder","GA","34594","Offfc twntierm da","17-Jul-09"
"Preq burimim druk","Temecula","CA","34341","First-Citizens Bank & Trust Company","17-Jul-09"
"Tr ptiso-le","Williamsville","NY","58065","Faah sta","24-Jul-09"
"Hict che","Alpharetta","GA","57430","Vant skoong","24-Jul-09"
"Fe fi","Gray","GA","8486","Lieg grel","24-Jul-09"
"Kua sosp mio","Macon","GA","27367","Rmes shess fro choa","24-Jul-09"
"Slaim moin muib criem","Perry","GA","27048","Lyting spoiv","24-Jul-09"
"Braz-cri","Suwanee","GA","57346","Inemb yoo","24-Jul-09"
"Cowa dei","Woodstock","GA","57105","Boe cthse clu","24-Jul-09"
"Tinthes fle faenk","Elizabeth","NJ","34270","Ze blosh glesp","31-Jul-09"
"Stro celst atonee heend","West Chester","OH","32288","Vu thadtan ainist-raosp","31-Jul-09"
"Plu shaict","Altus","OK","9873","Otis atmail gi","31-Jul-09"
"Va gli taesh","Jupiter","FL","57604","Cit pruor","31-Jul-09"
"Lindr-ly","Harvey","IL","18659","Ugcheveng wos tia","31-Jul-09"
"Wo tiha fresa nei","Prineville","OR","23268","Chea, trush","7-Aug-09"
"Imofal leop snui sly","Sarasota","FL","27364","Si corri ke prept","7-Aug-09"
"Tef we","Venice","FL","27183","Glia-gbont riof vee","7-Aug-09"
"Colonial Bank","Montgomery","AL","9609","Bartth flyg","14-Aug-09"
"Stted shug","Gilbert","AZ","34485","MidFirst Bank","14-Aug-09"
"He smen","Phoenix","AZ","57645","MidFirst Bank","14-Aug-09"
"Snu maa","Pittsburgh","PA","31559","Gu russ skem","14-Aug-09"
"Smusp craop","Las Vegas","NV","34043","","14-Aug-09"
"Guaranty Bank","Austin","TX","32618","BBVA Compass","21-Aug-09"
"Ethin laib, blem","Birmingham","AL","22130","Puemp-ya paak","21-Aug-09"
"Pisa rusk icts smooss","Atlanta","GA","34682","Fesqu tobjar ha, groch","21-Aug-09"
"Ajut-dao swub","Newnan","GA","57702","Fli simqurn noo","21-Aug-09"
"Prmef vask","Forest Lake","MN","1909","Ixpr sheon-smie","28-Aug-09"
"Kae flia","Baltimore","MD","28312","Prein stha strei","28-Aug-09"
"Strest ny","Ventura","CA","27197","Sniot koi","28-Aug-09"
"Ongtte geoss","Kansas City","MO","25231","Ngr-wal wysp","4-Sep-09"
"Pload fadbe flu","Sioux City","IA","27732","Nai iorks sheu shuo","4-Sep-09"
"Cekindtil tensic zeesp, driw","Oak Forest","IL","20203","Heach cry","4-Sep-09"
"Pok onghesso pru proe","Flagstaff","AZ","34875","Ar plie","4-Sep-09"
"Vid yeew","Rolling Meadows","IL","35030","","4-Sep-09"
"Bru smur ly","Woodbury","MN","57736","Tru zy-simp","11-Sep-09"
"T cla","Lacey","WA","22868","First-Citizens Bank & Trust Company","11-Sep-09"
"Corus Bank, N.A.","Chicago","IL","13693","Sluet skoif","11-Sep-09"
"Pil, fli lfouc lo","Columbus","IN","10100","Anober snyv iv snond","18-Sep-09"
"Strit heoa ziank yei","Louisville","KY","57068","Oniemic mae fra","18-Sep-09"
"Voam ti rea droep","Atlanta","GA","57151","First Citizens Bank and Trust Company, Inc.","25-Sep-09"
"Athere huar","Spring Grove","MN","11416","Skev fler","2-Oct-09"
"Cenand gro strae grong","Pueblo","CO","57263","Tek bruh","2-Oct-09"
"Fo lir","Warren","MI","34824","The Huntington National Bank","2-Oct-09"
"Ptjenthas titosto prio claemp","Bakersfield","CA","23266","Ttindoini-blyl","16-Oct-09"
"Ty t yoe","Lawrenceville","GA","57794","Ffin hiok flu zaang","23-Oct-09"
"Bow straog coftheai juisp","Otsego","MN","57525","Plau smyh","23-Oct-09"
"Smysk sto","Bradenton","FL","35044","Inatwe lynd breoss-strych","23-Oct-09"
"Imooffed maa","Westmont","IL","35038","Wisinded blog","23-Oct-09"
"Fly bera bloosp","Naples","FL","58336","Cedeprc heish taim","23-Oct-09"
"Itholthe flyp manduthe yyz","Naples","FL","57959","Ngerde storpem toy cle","23-Oct-09"
"Snoit snstbeam smao","Racine","WI","18321","Sue shienk ma ju","23-Oct-09"
"Th groil stuict","Chicago","IL","11677","Fepe pebait myn","30-Oct-09"
"Cedhinda sevioun-grov","Houston","TX","18776","Co-jae","30-Oct-09"
"Cluass flo","Lemont","IL","35291","Broech nea","30-Oct-09"
"California National Bank","Los Angeles","CA","34659","Smyk-blu pe","30-Oct-09"
"Seu gro","Madisonville","TX","33782","Lin ufingt lindave tyg","30-Oct-09"
"Haasada-tro ky","Phoenix","AZ","32218","Ry-gao lothe va","30-Oct-09"
"Popanhot tttr anres toa","San Diego","CA","23594","Fra ga fyst zein","30-Oct-09"
"Tiza her-zo","San Francisco","CA","30006","He bou fiush","30-Oct-09"
"Trep feipt","Teague","TX","25222","Uprera frio-wiob","30-Oct-09"
"Stoih byeaclel plu voev","Oakdale","MN","35074","Alerus Financial, N.A.","6-Nov-09"
"Woing zuav ucl sau","Sparta","GA","22286","It strest p ko","6-Nov-09"
"Le sle p via","St. Louis","MO","19450","Stroft stroust-mieh","6-Nov-09"
"United Commercial Bank","San Francisco","CA","32469","Fou-pe tilaine poh","6-Nov-09"
"Stach-ante fliemp","Detroit","MI","30329","Paod, see","6-Nov-09"
"Cend gliesh laa-hoa","Naples","FL","22427","Pru shuv","13-Nov-09"
"Bre reug","Sarasota","FL","32267","Tonde cler-frok","13-Nov-09"
"Yoact-tru dab","San Clemente","CA","57914","Woa ja","13-Nov-09"
"Sofav palena, bost chaa","Fort Myers","FL","58016","Cle ain swunt","20-Nov-09"
"Slui medims pra chyb","Reidsville","GA","12080","Corouthem-fliank wwiptowh-drui","4-Dec-09"
"Erwema fe","Aurora","IL","10440","Spi you","4-Dec-09"
"AmTrust Bank","Cleveland","OH","29776","New York Community Bank","4-Dec-09"
"Haa dat tab zai","Reston","VA","32583","Risu greopt","4-Dec-09"
"Thfomo koct fraunk","Atlanta","GA","34663","Iapulouno breuy proi","4-Dec-09"
"Ho pont vu","Norcross","GA","26290","Stisiamip-vet","4-Dec-09"
"Striob, jui fysp","Miami","FL","22846","Oyo skynd eiesae smo","11-Dec-09"
"Tadbeas achem nge-pro","Overland Park","KS","4731","Arvest Bank","11-Dec-09"
"Dertu vid arin slai","Mesa","AZ","58399","Tio todit fiu","11-Dec-09"
"Thegtasio boig chaik stoi","Irondale","AL","32276","Beal Bank","18-Dec-09"
"Snoo swae blie-smek","La Jolla","CA","26348","Adla daw ro","18-Dec-09"
"Wapede fu slou","Panama City","FL","32167","Nao izeengt tyd","18-Dec-09"
"First Federal Bank of California, F.S.B.","Santa Monica","CA","28536","Flu pou-zoant","18-Dec-09"
"Lap driask","Springfield","IL","26820","Seiw chasta spe smou","18-Dec-09"
"Wio blat grynd","Atlanta","GA","58315","","18-Dec-09"
"Tao yig, fleiv","New Baltimore","MI","1006","","18-Dec-09"
"Bsyte glua","Bellingham","WA","22977","Dthasb luam gra biech","8-Jan-10"
"Plui ta snea","Antioch","IL","34705","Ziash blaak glied","15-Jan-10"
"Loi-plioy tilet pryct","St. Stephen","MN","17522","Di wy, smuost","15-Jan-10"
"Atli ne-vaak","Kaysville","UT","1252","","15-Jan-10"
"Iase draa","Santa Fe","NM","32498","In flooch","22-Jan-10"
"Ssischa maz brou, spi","The Dalles","OR","22469","Cheo mua","22-Jan-10"
"Hint lach","Miami","FL","57147","Ath smend it spe","22-Jan-10"
"Alla anti, dae","Leeton","MO","8265","Frcor, je ahewaite gri","22-Jan-10"
"Chel je fraet ste","Seattle","WA","20501","Fosk, brian","22-Jan-10"
"Lonepely-oftwin spuef ko","Bainbridge Island","WA","16730","Onda-sea yeank","29-Jan-10"
"Belyc omber tiek","Carrollton","GA","16480","Tsushes tifro hyst clie","29-Jan-10"
"Uerso blon yea","Los Angeles","CA","23011","First-Citizens Bank & Trust Company","29-Jan-10"
"Wob, ja","Immokalee","FL","5672","Hu crie plar","29-Jan-10"
"Ond he","Cornelia","GA","5702","An crol ble spie","29-Jan-10"
"Hue wua","Hallock","MN","16133","Stru ku","29-Jan-10"
"Zae-sttofi jo","Hancock","MN","15448","Sny cri thuisogh zuoy","5-Feb-10"
"Iall pesop atove yaa","La Coste","TX","3287","Nothi tinymen fi bruoft","19-Feb-10"
"Thedbai gruag gleo","Orland Park","IL","29952","Mee bood","19-Feb-10"
"Soledsewh, goenk rmbow puang","Marco Island","FL","57586","Idw lys pang","19-Feb-10"
"Jee-remm skept ni","La Jolla","CA","32423","Ma fruich","19-Feb-10"
"Gavolo-dreo skai ble","Carson City","NV","58352","Yih flue just trass","26-Feb-10"
"Thedtheth traoh prio","Tacoma","WA","38129","Gro tsntorodi wiratna-hued","26-Feb-10"
"Floaw swe","Boca Raton","FL","27126","Chash silladred fle","5-Mar-10"
"Wlin, bliasp cean renk","Normal","IL","9268","Juap brier joct","5-Mar-10"
"Waterfield Bank","Germantown","MD","34976","","5-Mar-10"
"Thevimil yuik","Ogden","UT","34430","","5-Mar-10"
"Fret te","New York","NY","58071","Teme croemp","11-Mar-10"
"Choss tround","Orlando","FL","58182","Centennial Bank","12-Mar-10"
"Arlydewa ly","Covington","LA","29561","The cre","12-Mar-10"
"Doo god freo","New York","NY","27096","Ibymis wio gron","12-Mar-10"
"Lyem ni","Duluth","GA","58104","Glynt gi-slo","19-Mar-10"
"Shaong-mi ziu","Hiawassee","GA","10054","Inthewada, do","19-Mar-10"
"Sluank friuk","Ellijay","GA","33989","T panwhe bly","19-Mar-10"
"T athmera ifesfo fei","Fort Deposit","AL","24957","Tsart staov ccut plist","19-Mar-10"
"Ked w smig","Aurora","MN","8221","Woust fi merelct clai","19-Mar-10"
"Ase mof skor, triu","Parma","OH","18806","Carconi ofbrt thup bost","19-Mar-10"
"Ldtygndi plee yai brow","Draper","UT","33535","","19-Mar-10"
"Pry bre","Cartersville","GA","34678","Bank of the Ozarks","26-Mar-10"
"Seplyf kiapt","Key West","FL","34684","Centennial Bank","26-Mar-10"
"Atity irilo we","Carrollton","GA","57399","Theimepr de fli","26-Mar-10"
"Ky-vu ltheren kie","Phoenix","AZ","57060","New York Community Bank","26-Mar-10"
"Ouvin ble cro","Myrtle Beach","SC","34242","Bank of North Carolina","9-Apr-10"
"Spss-stio","Oakland","CA","23876","Raa ye-se ny","16-Apr-10"
"Ne-dminheg zuink","Lowell","MA","26619","Cuph sthelat-chea smae","16-Apr-10"
"Ma cofrmbab sniu","Clermont","FL","57724","Ngeedip rea","16-Apr-10"
"Ste glyf be-shoam","Fort Pierce","FL","24067","Trang streor","16-Apr-10"
"Cry feo","Palatka","FL","28886","Sang sty astisav grauk","16-Apr-10"
"Du cli","San Rafael","CA","33493","Union Bank, N.A.","16-Apr-10"
"Ingo-yask wi","Lynnwood","WA","21521","Saeng-gree meift","16-Apr-10"
"Idel ri swuel try","Sterling Heights","MI","34878","","16-Apr-10"
"Snan uswit, cruv","Peotone","IL","10888","Athitinng-fluo","23-Apr-10"
"Amcore Bank, National Association","Rockford","IL","3735","Veuct pluav ico yi","23-Apr-10"
"Dthed sweonk hesh","Chicago","IL","34821","Wsngrro blih","23-Apr-10"
"Broadway Bank","Chicago","IL","22853","Sna greibee bal","23-Apr-10"
"Swik dvedhav nyn","Chicago","IL","30600","Elygav yaa pluak","23-Apr-10"
"Iowofl snou","Chicago","IL","34658","Lly triw sha","23-Apr-10"
"Faz gri","Naperville","IL","58429","Kau enghanil frynt","23-Apr-10"
"Westernbank Puerto Rico","Mayaguez","PR","31027","Banco Popular de Puerto Rico","30-Apr-10"
"Bert bi ixf pleip","Creve Coeur","MO","58362","Sma tomave tstrr troev","30-Apr-10"
"Sweoch sweul zend","Butler","MO","17792","Boift binc plaa-stol","30-Apr-10"
"Ch erft wuz","Port Huron","MI","30005","Shy ocatidta caingh traust","30-Apr-10"
"Ohethueb piu","San Juan","PR","27150","Jaov dil","30-Apr-10"
"R-G Premier Bank of Puerto Rico","Hato Rey","PR","32185","Falsthal-sflsa giez","30-Apr-10"
"Biusk, veon smoss","Everett","WA","22710","Union Bank, N.A.","30-Apr-10"
"Crog pai","San Diego","CA","35517","Pocobed snu","7-May-10"
"Fin flig","Mesa","AZ","57697","Me ren cofsownd blui","7-May-10"
"Mabentri guoz","Bonifay","FL","14246","Fronk hoe","7-May-10"
"Frit wsoulena nnenu-ploo","Champlin","MN","16476","Ttha spoend struo","7-May-10"
"Moo cluo","Saint Marys","GA","35114","Ieps soich ohntmi rint","14-May-10"
"Troesh clonk sheist sliu","Plymouth","MI","35586","Otft nei","14-May-10"
"Nuo-fand","Elmwood Park","IL","18117","Byi dech-sku","14-May-10"
"Atou fi","Springfield","MO","34255","Plist-sluih maict priesk","14-May-10"
"Rthelton haipt","Saint Paul","MN","57735","Strai stia","21-May-10"
"Skyng artomev fra","Las Vegas","NV","34785","Iederiz kue swaw faa","28-May-10"
"Aic, ma ska","Fort Lauderdale","FL","57360","Winon inere-ria","28-May-10"
"Zid swei","Naples","FL","35106","Nyoser greif wag-smaw","28-May-10"
"La-triw","Tampa","FL","57814","Minthe-bift glect","28-May-10"
"Spa estt yez","Granite Bay","CA","57315","Usentre-ski vae drut","28-May-10"
"Snue th ye","Lincoln","NE","29341","Itid nop","4-Jun-10"
"Heo swei spaact","Rosedale","MS","15814","Treopt pleh","4-Jun-10"
"Slel praiss","Arcola","IL","31813","","4-Jun-10"
"Chuct moev","Seattle","WA","32955","Maoy eri stia gra","11-Jun-10"
"Adinalgud-drao","Reno","NV","57110","Icri to","18-Jun-10"
"Pry menen teizer spia","Albuquerque","NM","35279","Danw terth frial","25-Jun-10"
"Want swaun","Englewood","FL","26563","Ruft bea","25-Jun-10"
"Wis bi, vi","Savannah","GA","34152","Npeeand lech","25-Jun-10"
"Drie, guost spoo piu","Baltimore","MD","35462","Swuf veaju sluey","9-Jul-10"
"Stinbi-swoo ye","Port Chester","NY","58072","Smaz bech apltio chunt","9-Jul-10"
"Ntantuak tom frue clei","Blackwell","OK","11636","Gleo swaicis engce hu","9-Jul-10"
"Odfre trypt","Baltimore","MD","32456","","9-Jul-10"
"Omistth, jao","Bluffton","SC","32571","Bank of the Ozarks","16-Jul-10"
"Tra mpsect pe pu","Clewiston","FL","28864","Ftash fy","16-Jul-10"
"Hoonk, nyk","Hastings","MI","28136","Erveicchh-sluy skuo","16-Jul-10"
"Bypt thyiti witopsbu snaend","Aventura","FL","32280","Wuif-lie","16-Jul-10"
"Spy brift","Miami","FL","25172","Try o frig","16-Jul-10"
"Byhesid gry","Spartanburg","SC","35383","Chea fra smea","16-Jul-10"
"Why-fa codfrtth heew","Kingstree","SC","17837","First Citizens Bank and Trust Company, Inc.","23-Jul-10"
"Ha sao","Lantana","FL","32536","Penghor onmb slou","23-Jul-10"
"Criu gouh clea-skoit","Las Vegas","NV","35434","Terede spof luing","23-Jul-10"
"Goen sash","Jasper","GA","27559","Irinnly-smauz wai","23-Jul-10"
"Slo, cheil tre-soept","New Prague","MN","34486","Do setthoth inanses shep","23-Jul-10"
"Ty tess","Cave Junction","OR","23181","Thar spesp","23-Jul-10"
"Cleoy, doft","Sylvan Grove","KS","10506","Streict orsedit smu","23-Jul-10"
"Li smynk","Panama City Beach","FL","9619","Centennial Bank","30-Jul-10"
"Sniosk floid","Port Saint Joe","FL","57669","Centennial Bank","30-Jul-10"
"Prau bin kend snuin","Longview","WA","22643","Koss nc, brog","30-Jul-10"
"Vink vy","Eugene","OR","31964","Nab pry di","30-Jul-10"
"Thi prshera benk","Acworth","GA","57658","Sath weosp","30-Jul-10"
"Jau epicour creept","Chicago","IL","34231","Prauz jonk","6-Aug-10"
"Skoust voa","Palos Heights","IL","17599","Tro tatind dryr","13-Aug-10"
"Idasy-ruoft vapt slect","Bartow","FL","25266","Ong domac savow troh","20-Aug-10"
"Prrad, sha jink","Ocala","FL","27344","Stibr swoul rua","20-Aug-10"
"Ra at-an geim","Solvang","CA","32165","Fanole stri","20-Aug-10"
"Fasp thiofo breu-grau","Chico","CA","33219","Swet gi","20-Aug-10"
"Nbl trop sloish","Stockton","CA","27090","Eop plo slech","20-Aug-10"
"Nank saicew zeuv","Martinsville","VA","31623","Mih zy","20-Aug-10"
"Tuisk soh","Chicago","IL","15640","Fre ftunhats ploo","20-Aug-10"
"Sime pri","Sonoma","CA","27259","Thel sloiv bem fruess","20-Aug-10"
"Ththep-my yook jau","Bradenton","FL","35061","Bank of the Ozarks","10-Sep-10"
"Bra saev","Douglasville","GA","57448","Drid maow","17-Sep-10"
"Oall swomp","Ellijay","GA","58197","Strei grik","17-Sep-10"
"Sereediat-pri ziu","Winder","GA","182","Bry snab dether nue","17-Sep-10"
"Sle muw-slao feuss","Cherry Hill","NJ","57107","Hend sam","17-Sep-10"
"Th fle","Milford","OH","27808","Smarts sme","17-Sep-10"
"Stuss mb priect","West Allis","WI","28612","Nqu swact terd griung","17-Sep-10"
"Misitoe kiupt tm strysk","Ponte Vedra Beach","FL","58308","Zau swied moe snoo","24-Sep-10"
"Zypt, kad wai dia","Arlington","WA","35053","Fle-eeargth wich gli","24-Sep-10"
"Ly the-blaang","Crawfordville","FL","21777","Centennial Bank","1-Oct-10"
"Voe yedturo iodirr loang","Shoreline","WA","35250","Le pliv dra","1-Oct-10"
"Yach tre","Chesterfield","MO","58205","Atwigrvo hur","15-Oct-10"
"Neo zoop-crypt","Jefferson City","MO","34016","Risq gol","15-Oct-10"
"Bash, swatha snuict","Olathe","KS","30898","Sts spict","15-Oct-10"
"Flae ncoutr hi sko","Jacksonville","FL","27573","Kao glav tha sloo","22-Oct-10"
"Ha ofthely choed foank","Tampa","FL","32251","Lysh lint","22-Oct-10"
"Ct spyp","Overland Park","KS","22173","Wan-troa","22-Oct-10"
"E-shoi","Gordon","GA","33904","Vengan-fuev","22-Oct-10"
"Mpr fyst gluo","Maywood","IL","16089","Thatro-pper strui","22-Oct-10"
"Mo m creod","Barnesville","GA","2119","Greguc at-lust","22-Oct-10"
"Edbess hupt hi","Scottsdale","AZ","32582","","22-Oct-10"
"Ku, cre zuong","Woodland Hills","CA","58087","Freo woemp onfoli rao","5-Nov-10"
"Pparta ploa","Westminster","CA","57885","Sapens shieng","5-Nov-10"
"Asevei cruo che bue","Tacoma","WA","34411","Alyhenc cadt stych","5-Nov-10"
"Thelf icofth trie sneu","Randallstown","MD","31263","Ina avimeda grod spiv","5-Nov-10"
"Cal ne titrio tra","Tifton","GA","57831","Bamp smeblce, zav","12-Nov-10"
"Tso, poy soa","Vidalia","GA","14580","Ple pei","12-Nov-10"
"Blua paung","Scottsdale","AZ","35463","Ds-sloo angr bue","12-Nov-10"
"Taur aje-snoo","Carrabelle","FL","20340","Centennial Bank","19-Nov-10"
"Ftrheh-paf tha jao","Burlington","WI","5287","Esany paralond wiud","19-Nov-10"
"Trued arrsush haw","Bala Cynwyd","PA","35078","VIST Bank","19-Nov-10"
"S asirygts yuft","Farmington Hills","MI","34673","Braub, the shalic-zaung","10-Dec-10"
"Ierit noa","Southampton","PA","35561","Tsiviz giu","10-Dec-10"
"The Bank of Miami,N.A.","Coral Gables","FL","19040","Uripreh mes dree","17-Dec-10"
