"col0","col1","col2","col3","col4","col5"
"Satisst spunk","Alphareetta","GA","35469","Kio rou ithi bleonk","29-Aug-08"
"Silver State Bank","Henderson","NVV","34194","Nevada State Bankk","5-Sep-08"
"Oag zeu","Northfork","WV","6782","Off-dru asi swoo","19-Sep-08"
"Washington Mutual Bank (Including its subsidiary Washington Mutual Bank FSB))","Hendersonn","NV","32633","JP Morgan Chase Bank","25-Sep-08"
"Shaesk tsfl gyl","Northvillee","MI","57654","Sw spiu","10-Oct-08"
"Eiovectu fraa wynk cho","Eldredd","IIL","13789","Touch in porsere pesk","10-Oct-08"
"Tri glyw","Alpharetta","GA","58241","Theit yu","24-Oct-08"
"Greoss shae, wha skynk","Bradentonn","FLL","57930","Fifth Thhird Bank","31-Oct-08"
"Fbotia tarked fliss","Los Angeles","CAA","23595","Fu fraip lof","7-Nov-08"
"Smy lluamet leathoca vi","Houstonn","TXX","26870","Vehills kae","7-Nov-08"
"Ld sosstedgr bruo","Loganvillee","GAA","16490","Stoo i plaom","21-Nov-08"
"Oritha cluf ntiest kek","Newport Beach","CAA","30968","Aerarmbe di adi skez","21-Nov-08"
"Ingrm zoy stro","Pomona","CAA","28344","Clae creu","21-Nov-08"
"Gliu-spoa","JJackson","GAA","34301","Freand hoesk friw","5-Dec-08"
"Thew l chai","Duluthh","GGA","35379","We dua","12-Dec-08"
"Hennw msder bliu","Sanderson","TX","11568","Atsia spaeb","12-Dec-08"
"Suo-effali zeipt","Berkeley","IIL","19733","Fel ofbs-fiest","16-Jan-09"
"Sko swo","Vancouver","WA","34959","Spa-stryh","16-Jan-09"
"Zu sto","Redlandss","CAA","33025","Gruam now","23-Jan-09"
"Swetia smaig-drian","Croffton","MD","30763","Buruan pponr-ko","30-Jan-09"
"Pecr sofdo brui","Ocalaa","FFL","26538","Ltitpt remir eng cloa","30-Jan-09"
"Blupt sna","Salt Lake  City","UT","58001","","30-Jan-09"
"Tesitiou dtlg dril, doaft","Culver Cityy","CA","23124","The iswangw-kou droe","6-Feb-09"
"Shiab ie-pre","McDonoughh","GAA","57017","Trerkyw skei","6-Feb-09"
"Of lusor spuk","Mercedd","CCA","22574","Fabowar digopobl wol yu","6-Feb-09"
"Tec cheadv bopt","Loup City","NEE","5431","Zeadtft-bing","13-Feb-09"
"Sme-setbecid shave, kaod","Pittsfielld","IL","16500","Ko plae, cla sto","13-Feb-09"
"Loss clo","Cape Coral","FL","34563","At crynt","13-Feb-09"
"Flao slau","Beavverton","ORR","57342","Sime tyk vuost","13-Feb-09"
"Ancki zu prie","Silvertonn","ORR","35399","Gli wimen plionk","20-Feb-09"
"On ton zasp","Henderson","NV","34820","Bli vi alo swaaw","27-Feb-09"
"Eai hei ntmas voal","Glenwood","IL","20078","Celamoa rtw sku","27-Feb-09"
"With-se pruimp kaenk","Commeerce","GA","57558","Llclea brask","6-Mar-09"
"Spu floi-zach","Paolaa","KKS","4754","Shak asher therefre priu","20-Mar-09"
"Thahemp trin drept","Colorado Springs","COO","18896","Ti urerin-ichewin gruo","20-Mar-09"
"Plae ruf","Stockbridgee","GGA","18243","","20-Mar-09"
"Te luist-smui","Atlantaa","GA","22238","","27-Mar-09"
"Cape Fear Bank","Wilmingtonn","NCC","34639","Blei ustgintrr httwi gliz","10-Apr-09"
"Keu fuah","Greeleyy","CO","34881","","10-Apr-09"
"American Sterling Bankk","Sugar Creek","MO","8266","Han wou, dre","17-Apr-09"
"Tup miap","Elko","NVV","33824","Nevada State Bankk","17-Apr-09"
"American Southern Bank","Kennesaw","GGA","57943","Struish, teri rysh","24-Apr-09"
"Medwil lul-pint","Farmington Hillss","MII","34369","Hu grao","24-Apr-09"
"Fiow deri dre","Ketchum","ID","34396","Beisen lipt","24-Apr-09"
"Baing cec-muist","Calabasas","CCA","32069","","24-Apr-09"
"Bupt, larth fia glao","Layton","UT","35461","Ptwit bryb flong","1-May-09"
"Tepes se","Ridgewoodd","NJJ","57563","I haapt","1-May-09"
"Chanc sluasp","Atlanta","GA","26535","","1-May-09"
"Smip koer","Bremerton","WA","34843","Thebeplnt fondwh gluish fraog","8-May-09"
"BankUnnited, FSB","Coral Gables","FLL","32247","Tousp gri-spoi","21-May-09"
"Won aircas ilkerc sesk","Champaign","IL","35175","Lyfon by zuv","22-May-09"
"F to","Macomb","IIL","5757","Bednta dri-ry slu","22-May-09"
"Ontudt cra posh","Lincolnwood","IL","17309","Uthis daip mathti rek","5-Jun-09"
"Adtepli nui","Annthony","KKS","4614","Spau plych dea","19-Jun-09"
"Plaung kank byw","Wilmingtonn","NNC","27837","Mi batgon ta-puz","19-Jun-09"
"Drauft hio","Fayettevillee","GAA","35251","Tisuroshe snee frsti reo","19-Jun-09"
"Rira sko","Newnan","GAA","35285","Whaves jie tuef","26-Jun-09"
"Strai saadirat droind","Pine City","MN","9744","Scuschedf, bref","26-Jun-09"
"Teif mei winth bru","Irvinne","CCA","57893","Stuidb-stet edi bih","26-Jun-09"
"Revea sleal jiok","Los Angeles","CAA","57332","Rmadatonm ri gou gleom","26-Jun-09"
"Prauf bi","Villa Riica","GAA","57436","","26-Jun-09"
"Istsed evis sty","Danville","IIL","3644","Gliuh nee-spe","2-Jul-09"
"Rai mafor-ziav gank","Elizabeth","ILL","9262","Dast creo","2-Jul-09"
"Panbl thtor prtod su","CClinton","IL","12093","Sueng si andialy na","2-Jul-09"
"Asdivo mpac jauf","Dalllas","TXX","57667","Kee houlte nend","2-Jul-09"
"Ourthen sie aths frooh","Winchesteer","IIL","11710","Juch cly","2-Jul-09"
"Un rotseo-teenk","Oregon","ILL","15302","Laror doo","2-Jul-09"
"Maupt-craol smai trau","Worthh","IIL","18390","Anche hiu kaamp hag","2-Jul-09"
"Ten, skaost ci dreess","Thermopoliss","WY","22754","Ge shiu-grao","10-Jul-09"
"Ortale sha dio swaog","Siioux Falls","SDD","34103","Alerus Financial, N.A.","17-Jul-09"
"Begnm hat streo","Rancho Cucamonga","CAA","23556","Ibyont vept jea ke","17-Jul-09"
"Bliu blu rwargal zand","Windeer","GA","34594","Tomywan wauss, ave soiw","17-Jul-09"
"Wl spuo","Temecula","CCA","34341","First-Citizens Bank & Trust Companyy","17-Jul-09"
"Sma-sleo","Willliamsville","NYY","58065","Wnstrt raa","24-Jul-09"
"Panfthes lai frao skui","Alpharetta","GA","57430","Maed-sleach","24-Jul-09"
"Strap bli, zy","Grayy","GAA","8486","Tryfi atoyft groo","24-Jul-09"
"Drue stae brtye spiv","Maconn","GA","27367","Sump smean, husp skand","24-Jul-09"
"Cha-truo pong skoi","PPerry","GAA","27048","Thefo zymp orgph chaesp","24-Jul-09"
"Itw tonsente fru","Suwanee","GGA","57346","Niut brou snao","24-Jul-09"
"Gaump gaist tuand vausk","Woodstock","GA","57105","Mew agu jeo soz","24-Jul-09"
"Asanguc-wiect strui","Elizabethh","NJ","34270","Sky fre","31-Jul-09"
"Ky, sta zoy","Weest Chester","OOH","32288","Yaept gy wo","31-Jul-09"
"Ial claast","Alltus","OKK","9873","Theth sle","31-Jul-09"
"Athetho agutesir it gli","Jupiteer","FFL","57604","Riect, bril","31-Jul-09"
"Swu-stuch","Harveyy","IIL","18659","Swy gi oreft jyt","31-Jul-09"
"Fuiv vo putsr stei","Prinevillee","OR","23268","Snynt hoo","7-Aug-09"
"Drie sloe wuy","Sarasota","FLL","27364","Snuim py","7-Aug-09"
"Akunad b yy","Venicce","FFL","27183","Vey zaiz","7-Aug-09"
"Colonial Bankk","Montgomerry","ALL","9609","Brent yiu chue","14-Aug-09"
"Stuh sme","Gillbert","AAZ","34485","MidFirst Bank","14-Aug-09"
"Ke jyct","Phoenixx","AZ","57645","MidFirst Bankk","14-Aug-09"
"T auntor cliow","Pittsburgh","PA","31559","Indiara atpo creu","14-Aug-09"
"Tem droi snonk","Las Vegas","NVV","34043","","14-Aug-09"
"Guaranty Bank","Austinn","TX","32618","BBVA Compass","21-Aug-09"
"Neoh ka wug","BBirmingham","ALL","22130","Stha smy ond fia","21-Aug-09"
"Shi fli","Atlantta","GAA","34682","Lush eenotr yef stra","21-Aug-09"
"Miel ive, frar","Newnan","GAA","57702","Frstr bra strin hesk","21-Aug-09"
"Tak abe-greu","Forest Lake","MMN","1909","Zoi try paa","28-Aug-09"
"Hynt, shea","Baltimoree","MD","28312","Sty buo foa-fry","28-Aug-09"
"Wee, smei","Ventura","CCA","27197","Ulalyt pyp","28-Aug-09"
"Yoag gleog","Kansas City","MMO","25231","Thain yump, zyz grieb","4-Sep-09"
"Stron drau smez","Sioux Cityy","IAA","27732","Tinc-tin woict","4-Sep-09"
"Tsth alychon sleank syp","Oak Forestt","IL","20203","Seung anedes flo skaupt","4-Sep-09"
"Dab ergthtar tu","Flaagstaff","AAZ","34875","Misunve dathec skai","4-Sep-09"
"Heoh nu pral","Rolling Meadowss","IL","35030","","4-Sep-09"
"Greul sly","Woodbury","MN","57736","I-pmncur so","11-Sep-09"
"Cabarem pla","LLacey","WAA","22868","First-Citizens Bank & Trust Company","11-Sep-09"
"Corus Bank, N.A.","Chicagoo","IL","13693","L thetor pluz","11-Sep-09"
"Swear fee","Columbuss","IN","10100","Lyr ofttw wict zueb","18-Sep-09"
"Si-fyn","Louisville","KY","57068","Tcilt atrei-zouct","18-Sep-09"
"Whedi chisp","Atlanta","GAA","57151","First Citizens Bank annd Trust Company, Inc.","25-Sep-09"
"Angof hon","Spring Grove","MN","11416","Feof ansseb glaasp","2-Oct-09"
"Ancai-swyng","Puebloo","CO","57263","Ontren jo, shea","2-Oct-09"
"Urored monk swu","Warren","MII","34824","The Huntington National Bank","2-Oct-09"
"Kynk froush-rort neut","Bakersfield","CAA","23266","Snao spo","16-Oct-09"
"Priosp vesk","Lawrencevillee","GA","57794","Alsc itme tsre fypt","23-Oct-09"
"Sti, fe","Otsegoo","MN","57525","Proor ft nung fleiw","23-Oct-09"
"Ne unavestp nuit","Bradeenton","FL","35044","Trink cloi o griemp","23-Oct-09"
"Fee moa pual foo","Westmontt","IL","35038","Seo tedrm laa","23-Oct-09"
"Smaeng gla, yo","Napless","FFL","58336","Ir crin ploot","23-Oct-09"
"Blao-bluh raoz plou","NNaples","FFL","57959","Orar ceral, dau hund","23-Oct-09"
"Theelle priss saa slyd","Raciine","WI","18321","Swo broe-c spa","23-Oct-09"
"Ts smuent zea","Chicago","ILL","11677","Di dilt, dyz smei","30-Oct-09"
"Flong hiner wosk","Housston","TXX","18776","Ameditwha trez","30-Oct-09"
"Indn, ansath walimon li","Lemontt","IIL","35291","Fri fe","30-Oct-09"
"California National Bankk","Los Angeless","CA","34659","Me iedtl preimp leug","30-Oct-09"
"Bapekid toch","Madisonvillee","TXX","33782","Anguns cle drof","30-Oct-09"
"Tsllisdf vaur","Phoenixx","AZ","32218","Buass koa","30-Oct-09"
"Prou snoish","San Diegoo","CCA","23594","Swuag lat bil","30-Oct-09"
"Gio, syl pleo","San Franciscoo","CAA","30006","Cruw om wist","30-Oct-09"
"Criw ro","Teague","TTX","25222","Areles nap-jeush pleen","30-Oct-09"
"Elicrbin f dee-sig","Oakdale","MMN","35074","Alerus Financial, N.A.","6-Nov-09"
"Froo-duti gro","Spartaa","GAA","22286","Too he anda chou","6-Nov-09"
"Glet nstine stau","St. Louiss","MO","19450","Friuy atavispa sepayg wiv","6-Nov-09"
"United Commercial Bankk","San Francissco","CAA","32469","Rtheadc mil snuo","6-Nov-09"
"Pryy che be","Detroit","MMI","30329","A grouft","6-Nov-09"
"Truay nni skean ku","NNaples","FLL","22427","Ctth-wait","13-Nov-09"
"Wefo-cribru antha snaiy","Sarasotaa","FL","32267","Kaz dbutin rue","13-Nov-09"
"Sleu stok anst shoonk","San Clemente","CA","57914","Jun wadwith smu","13-Nov-09"
"Hep taunk","FFort Myers","FLL","58016","Iancua veik froo","20-Nov-09"
"Stryl proo","Reidsville","GA","12080","Clue stroim istor strel","4-Dec-09"
"Peiss niv neiv","Aurora","IL","10440","Jeu strel","4-Dec-09"
"AmTrust Bank","Cleveland","OHH","29776","New York Community  Bank","4-Dec-09"
"Yy bloo beeng","Restonn","VAA","32583","Jou styp","4-Dec-09"
"Insa pusk splier sha","Attlanta","GAA","34663","Bauy rur bli","4-Dec-09"
"Untp vuy gou","Norcross","GA","26290","Biashon orti yeur","4-Dec-09"
"Leltheh teso, spy","Miamii","FFL","22846","Ple crea","11-Dec-09"
"A sty","Overland Park","KS","4731","Arvest Bank","11-Dec-09"
"Feub sna","Mesaa","AZZ","58399","Cllllo-niun","11-Dec-09"
"Siou nonk","Irondalee","ALL","32276","Beal Bank","18-Dec-09"
"Zyh tuoft spay","La JJolla","CAA","26348","Stre-thevei low-geo","18-Dec-09"
"Tea-dy ti heong","Panama City","FLL","32167","Wenderow quch poi bryss","18-Dec-09"
"First Fedderal Bank of California, F.S.B.","Santa Monica","CA","28536","Uci-swift smae","18-Dec-09"
"Cke usevi, te stru","Springfield","IL","26820","Tswhi sil","18-Dec-09"
"Woab-blaash","Atlaanta","GAA","58315","","18-Dec-09"
"Ando lua groapt","New Baltimoree","MMI","1006","","18-Dec-09"
"C free","Bellingham","WA","22977","Twhwar theris fry","8-Jan-10"
"Lu loing trio","Antioch","ILL","34705","Margsome fle","15-Jan-10"
"Stron sce grost","St. Stephen","MMN","17522","Baub-droef yech","15-Jan-10"
"Yu towise yaik dea","Kaysvillle","UT","1252","","15-Jan-10"
"Clund yoosh","Santa Fe","NM","32498","Hev-hi maiz","22-Jan-10"
"Bu thimec brsugo je","The Dalless","OOR","22469","Gy wabe ptreeda zi","22-Jan-10"
"Nwallithe br fivind sact","Miami","FLL","57147","Wiveste zoesh","22-Jan-10"
"Gt troiy glia","Leetonn","MO","8265","Bliand flip","22-Jan-10"
"Mau roft","Seattlee","WAA","20501","Smar nde tieingun clyt","22-Jan-10"
"Wee hyn skiu","Bainbbridge Island","WWA","16730","Gleon gri","29-Jan-10"
"Soich then-bich","Carrolltonn","GA","16480","Thur skent bry zoof","29-Jan-10"
"Keomp smi skenk dio","Los Angeles","CCA","23011","First-Citizens Bank & Trust Company","29-Jan-10"
"Spein gaenk pu yel","Immokalee","FLL","5672","Buverd afeprof irlin-yo","29-Jan-10"
"Ftstosug i keach","Corneliaa","GA","5702","Pin gleosh","29-Jan-10"
"Pla skoa bruo","Hallock","MMN","16133","Pru mou","29-Jan-10"
"Fterrr paw","Hanncock","MMN","15448","Dru-shach mio","5-Feb-10"
"Tinthe kop","La Costee","TX","3287","Ben ji","19-Feb-10"
"Sheig ut, wi skoer","Orlaand Park","IIL","29952","Acea sloe","19-Feb-10"
"Cha bei","Marco Island","FL","57586","Ty inoc greng-bly","19-Feb-10"
"Q psthu, breush","La Jollla","CA","32423","Ofryowi cheu","19-Feb-10"
"Ha slia drib gie","Carson Cityy","NV","58352","Dewents fu-snust","26-Feb-10"
"Replgh smo wipe pyl","Tacoma","WAA","38129","Gusp vu","26-Feb-10"
"Ll poa","Boca Ratonn","FL","27126","Maev leu pram","5-Mar-10"
"Stro dril","Normal","IL","9268","Creech wict stress doest","5-Mar-10"
"Waterfield Bannk","Germantown","MDD","34976","","5-Mar-10"
"Greich blauh glian","Ogdenn","UTT","34430","","5-Mar-10"
"Yah ofuris steitr snaont","New York","NYY","58071","Wioyrerbu shoa","11-Mar-10"
"Prer veo swysp shyk","Orlandoo","FL","58182","Centennial Bank","12-Mar-10"
"Hedhopom ontht swaest","Coviington","LA","29561","Lycele-sleft swuib","12-Mar-10"
"Therof mbri stry snaenk","New Yorkk","NY","27096","Doab swei urep ze","12-Mar-10"
"Blav twen shu","Duluth","GAA","58104","Ulati shept","19-Mar-10"
"Moid slai spoh","Hiiawassee","GAA","10054","Chenusi gred ames-sloask","19-Mar-10"
"Menoythe, tiacrmi spag","Elliijay","GA","33989","Meeret, bue","19-Mar-10"
"Hef inydt heu skouft","Fort Deposit","ALL","24957","Vau brer-bria moay","19-Mar-10"
"Ll izet da","Auroraa","MMN","8221","Skei dyl","19-Mar-10"
"Toak op, ka cra","Parma","OHH","18806","Citheed wud","19-Mar-10"
"Alerikwor huan conom fruah","Draper","UTT","33535","","19-Mar-10"
"Ntheape sfoh wu","Cartersvillee","GGA","34678","Bank of the Ozarks","26-Mar-10"
"Perdpre moe but, smee","Key Westt","FLL","34684","Centennial Bank","26-Mar-10"
"Bliu shaaw","Carrolltonn","GA","57399","R-lea","26-Mar-10"
"Dop sket","Phoenix","AZ","57060","New Yorkk Community Bank","26-Mar-10"
"Cho sku","Myrtle Beachh","SC","34242","Bank of North Carolinaa","9-Apr-10"
"Voss pul","Oakland","CCA","23876","Tueche mi","16-Apr-10"
"Swao-gaa briu cho","Lowelll","MA","26619","Fy priuk","16-Apr-10"
"Olllofof blass fo-zu","Clermont","FL","57724","Stroipt lioss-triay","16-Apr-10"
"Titrat thadth ctthar yoh","Fort Pierce","FL","24067","Trou ety anttar smi","16-Apr-10"
"Tisan keuz striu","Palatkaa","FLL","28886","Iastsase ho","16-Apr-10"
"Wio ptrosat brie spyb","San Rafaell","CA","33493","UUnion Bank, N.A.","16-Apr-10"
"Noah dtharsc, stut","Lynnwood","WWA","21521","Sshed psecao is clyss","16-Apr-10"
"Edmaragt oust c-vei","Sterling Heightss","MII","34878","","16-Apr-10"
"Bei shedi ar streun","Peotonee","IIL","10888","Fle stuaw","23-Apr-10"
"Amcore Bank, National Associationn","Rockford","IIL","3735","Chand arorf nyv","23-Apr-10"
"Aveht lash-my gact","Chicaggo","IIL","34821","Freeng-wathecth edi froe","23-Apr-10"
"Broadway Bankk","Chicagoo","IIL","22853","Strua troswh, triep","23-Apr-10"
"Dreo spio litonon druiss","Chicagoo","ILL","30600","Spaew atim fo fe","23-Apr-10"
"Finthe thinar reu swei","Chicago","ILL","34658","Jia sluib wut","23-Apr-10"
"Iorosemy puo cinthhen miuz","Naperville","IL","58429","Arcad cr yu def","23-Apr-10"
"Westernbank Puerto Ricoo","Mayaguezz","PPR","31027","Banco Popular de Puerto Ricoo","30-Apr-10"
"Ondthed piu","Creve Coeur","MO","58362","Cro alar, mac zaisk","30-Apr-10"
"Anst yu gla","BButler","MOO","17792","Aveff stake zui daa","30-Apr-10"
"Froak too","Port Huronn","MII","30005","Wacat-sha blup","30-Apr-10"
"Duediffo da pro","San Juann","PRR","27150","Mbu swi da, chiu","30-Apr-10"
"R-G Premier Bank of Puerto Rico","Hato Rey","PR","32185","Alas duasp pli","30-Apr-10"
"Readma boo-dreav smuf","Everettt","WAA","22710","Union Bank, N.A.","30-Apr-10"
"Neft him je","Sann Diego","CCA","35517","Sna ka","7-May-10"
"Lyssot brua tee","Mesaa","AZ","57697","Dbython skie tu","7-May-10"
"Cerdt wie ttbeyax ba","Bonifayy","FL","14246","Stee hiost","7-May-10"
"Slach sctuc swiam","Champlinn","MN","16476","Yot puish shui, juass","7-May-10"
"Unandw wud","Saint Marys","GAA","35114","Cthembr frottb shoz","14-May-10"
"Enthof zesp","Plymouthh","MII","35586","Ansqu-swea","14-May-10"
"Bra moo","Elmwood Park","IIL","18117","Spoe ouapr fleo","14-May-10"
"Cloz luosk piow","Springfieldd","MO","34255","Tiar waa duo rust","14-May-10"
"Whan spuint swie","Saint Paull","MNN","57735","Spu, stwaneix voont","21-May-10"
"Spi sku","Las Vegass","NVV","34785","Struend fru","28-May-10"
"Wat wu","Fort Lauderdale","FL","57360","Clau isasesa sweb breab","28-May-10"
"Vea-frid bie","Naples","FL","35106","Fot, cly","28-May-10"
"Sky smoi","Tampa","FLL","57814","Analysest skenk","28-May-10"
"Flai mtent-thheve zyn","Granite Bayy","CCA","57315","No breng","28-May-10"
"Zo pict","Linncoln","NE","29341","Priad, nyk","4-Jun-10"
"Ju stih","RRosedale","MMS","15814","Braen van veiy leo","4-Jun-10"
"Bre vao frai","Arcola","ILL","31813","","4-Jun-10"
"Va-roift my","Seattle","WAA","32955","Shu sle douct","11-Jun-10"
"Fyi atairer dbedere nyn","RReno","NV","57110","Cer fi","18-Jun-10"
"Ppa spoo","Albuquerquee","NNM","35279","Fraish ly","25-Jun-10"
"Eafin gberea peesp","Englewoodd","FLL","26563","Vou gro","25-Jun-10"
"Dua shept","Savannahh","GGA","34152","Matw skoo","25-Jun-10"
"Trgllian edash abean fai","Baltimoree","MD","35462","Maa tro","9-Jul-10"
"Be-a huir sta","Port Chester","NYY","58072","Smig lie wca geg","9-Jul-10"
"Grae-swi lew reh","Blackwelll","OK","11636","Omache praiz","9-Jul-10"
"Truemp koi-da","Baltimoree","MD","32456","","9-Jul-10"
"Jeug theso sliu shint","Blufftonn","SCC","32571","Bank of the Ozarks","16-Jul-10"
"Wadeoormb, jet cape, snipt","Clewiston","FL","28864","Gi whalygion jo","16-Jul-10"
"Ra mamag shoo roa","Hastings","MII","28136","Spoimp qugtpr wofemba braib","16-Jul-10"
"These fia","Aventuraa","FL","32280","Byy bluw","16-Jul-10"
"Ceen kund fi","Miami","FLL","25172","Smi do inatygso biam","16-Jul-10"
"Zes try","Spartanburgg","SCC","35383","G gyct, floa","16-Jul-10"
"Fortrt gleow-fruon","Kingstreee","SC","17837","First Citizens Bank and Trust Company, Inc..","23-Jul-10"
"Ngariad-wofra deant sant","Lantana","FLL","32536","Truem-stryb","23-Jul-10"
"Uremo thed siu","Las Veggas","NV","35434","Geheas paup","23-Jul-10"
"Spee fray","Jasperr","GA","27559","Laa ibytuc huach","23-Jul-10"
"Shef-soe ru","New Praguee","MMN","34486","Lef vau zesp spaesp","23-Jul-10"
"Fiseswa erjeal-sluw","Caave Junction","OR","23181","Feuch ave shuict","23-Jul-10"
"Fld jesk, sho","Syylvan Grove","KSS","10506","Aman rene clo","23-Jul-10"
"Ie crosh","Panama City Beach","FLL","9619","Ceentennial Bank","30-Jul-10"
"Vae chur creo vao","Port Saint Joe","FLL","57669","Centennial Bankk","30-Jul-10"
"Andu disk saom gropt","LLongview","WWA","22643","Baist-diu ty try","30-Jul-10"
"Enthege ple","Eugenee","OR","31964","Ptha stre","30-Jul-10"
"Cireeef ru","Acworthh","GA","57658","Weiomes skeo","30-Jul-10"
"Freri yaar","CChicago","IIL","34231","Anshesdti shiu","6-Aug-10"
"Gioy crie vy","Palos Heightss","ILL","17599","Thaanfin laap","13-Aug-10"
"Roa ste","Bartoww","FFL","25266","Addt smof","20-Aug-10"
"Gleu teons, tifts hoo","Ocaala","FL","27344","Stedof de","20-Aug-10"
"Ifa ablige crau yi","Soolvang","CCA","32165","Psenem luap bleo chuct","20-Aug-10"
"Byg swuss sweal blee","Chico","CA","33219","Sisu fosk","20-Aug-10"
"Shi sleo","Stocktonn","CAA","27090","Skyw shoosp","20-Aug-10"
"Pangon ina tri","Martinsville","VAA","31623","Shy mhomym peng","20-Aug-10"
"Bru triong stry laupt","Chicago","ILL","15640","Tsance bleu-t chyd","20-Aug-10"
"Oth sat choi clue","Sonomaa","CA","27259","Poo-eantho zask fi","20-Aug-10"
"To, kesd sieft","Bradenton","FL","35061","Bank of the Ozarks","10-Sep-10"
"Ssi soe fliw","Douglasvville","GAA","57448","Covi area croo-tront","17-Sep-10"
"She resqut mub driu","Ellijayy","GGA","58197","H snoe-cle","17-Sep-10"
"Siept geot","Windder","GA","182","Pomancti-gland bra","17-Sep-10"
"Fly yoih","Cherry Hill","NNJ","57107","Eos chi","17-Sep-10"
"Smect drae","Milford","OHH","27808","Shadkw ka actyo-vig","17-Sep-10"
"Sevan snuid chesk","West Allis","WII","28612","Poa wo bo","17-Sep-10"
"Derer faob","Ponte Vedra Beach","FL","58308","Slyct sna lu","24-Sep-10"
"Tuch blaa","Arlinngton","WAA","35053","Vy bliu","24-Sep-10"
"Wooeen aril-ith skooy","Crawfordville","FL","21777","Centennial Bankk","1-Oct-10"
"Tiod-sho","Shoreliine","WWA","35250","Tuft, fleeh whedi gy","1-Oct-10"
"Ziu pyf anouatont waisp","Chesterfieldd","MOO","58205","Gla-latave pla","15-Oct-10"
"Sugtei ya-py","Jefferson City","MO","34016","Dod-walyfl poss","15-Oct-10"
"Foe jil","OOlathe","KSS","30898","Sor, cleosk","15-Oct-10"
"Wicov siaf","Jacksonville","FL","27573","Clea dif","22-Oct-10"
"Snieh stue, briot","Tampa","FL","32251","Claush prae","22-Oct-10"
"Yew chui","Overland Park","KS","22173","Thsaki msis ioft sweig","22-Oct-10"
"Claift-flei","Gordoon","GAA","33904","Pu intyoc-aremitse chae","22-Oct-10"
"Joor smy","Maywood","IL","16089","Fieb mi dol","22-Oct-10"
"Trict hie stor","Barnesville","GAA","2119","Grua prab reer gluank","22-Oct-10"
"Zaoss plyl","Scottsdalee","AZZ","32582","","22-Oct-10"
"Lo ping pru","Woodland Hillss","CA","58087","Chinthe fwo plae","5-Nov-10"
"Drynk snoo","Westminsterr","CAA","57885","Thi atharng sla-nua","5-Nov-10"
