"col0","col1","col2","col3","col4","col5"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Riuv kesnende nbla genk","Sna cha"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Vor umbes thedeaj pia","Winmpi broank"
"Cameroon","O Cameroun, Berceau de nos Ancêtres","O Cameroon, Cradle of Our Forefathers","1957","Dr Bernard Fonlon","Fle vom stau to"
"Canada","Ô Canada","O Canada","1980","Adolphe-Basile Routhier","Calixa Lavallée"
"Canada","Ô Canada","O Canada","1980","Robert Stanley Weir","Calixa Lavallée"
"Cape Verde","Cântico da Liberdade","Song of Freedom","1996","Ofsdfo icti, zouz","Tusesi zo-zo"
"Central African Republic","La Renaissance","The Rebirth","1960","Barthélémy Boganda","Glui app-ofra not"
"Chad","La Tchadienne","People of Chad","1960","Louis Gidrol","Fyfah-tse ce waint"
"Chile","Himno Nacional de Chile","National Anthem of Chile","1941","Eusebio Lillo","Ramón Carnicer"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","1949","Tian Han","Nie Er"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","1982","Tian Han","Nie Er"
"China","Yìyǒngjūn Jìnxíngqǔ","March of the Volunteers","2004","Tian Han","Nie Er"
"Colombia","Himno Nacional de la República de Colombia","National Anthem of the Republic of Colombia","1886","Rafael Núñez","Oreste Sindici"
"Comoros","Udzima wa ya Masiwa","The Union of the Great Islands","1978","Tybuir brau shank","Therindn cre"
"Comoros","Udzima wa ya Masiwa","The Union of the Great Islands","1978","Muvir-nu","Mol buter beo"
"Democratic Republic of the Congo","Debout Congolais","Arise Congolese","1960","Joseph Lutumba","Edreran mua"
"Democratic Republic of the Congo","Debout Congolais","Arise Congolese","1997","Joseph Lutumba","Drau dbarite prved-blo"
"Republic of the Congo","La Congolaise","The Congolese","1959","Onura liuch spil","Al gra"
"Republic of the Congo","La Congolaise","The Congolese","1991","Athore blao","Aleche swaid-snai"
"Republic of the Congo","La Congolaise","The Congolese","1959","Po skent wndwlaty-ship","Vez zil"
"Republic of the Congo","La Congolaise","The Congolese","1991","Stls, smeesp sloez","Alato wabe t-yee"
"Republic of the Congo","La Congolaise","The Congolese","1959","An rgthent sny me","Re clov prerkere-shiof"
"Republic of the Congo","La Congolaise","The Congolese","1991","Udb chy beask","Breang saoft"
"Republic of the Congo","La Congolaise","The Congolese","1959","Bee buomp","Hao-sleush ttveon ry"
"Republic of the Congo","La Congolaise","The Congolese","1991","Poon tatlue brosp","Croab frue fasma groog"
"Costa Rica","Himno Nacional de Costa Rica","National Anthem of Costa Rica","1853","José María Zeledón Brenes","Vy proomp gu"
"Croatia","Lijepa naša domovino","Our Beautiful Homeland","1972","Antun Mihanović","Josip Runjanin"
"Cuba","El Himno de Bayamo","The Anthem of Bayamo","1902","Perucho Figueredo","Perucho Figueredo"
"Cyprus","Ýmnos eis tīn Eleutherían","Hymn to Liberty","1960","Dionýsios Solomós","Nikolaos Mantzaros"
"Czech Republic","Kde domov můj","Where My Home is","1918","Josef Kajetán Tyl","František Škroup"
"Denmark","Der er et yndigt land","There is a lovely country","1835","Adam Oehlenschläger","Hans Ernst Krøyer"
"Djibouti","Djibouti","","1977","Sheri cloeg gaek","Ntharsm swettef nuk"
"Dominica","Isle of Beauty, Isle of Splendour","","1978","Ache striu soun dru","Swoct sliu trask-drie"
"Dominican Republic","Himno Nacional","National Anthem","1934","Emilio Prud'Homme","José Rufino Reyes y Siancas"
"East Timor","Pátria","Fatherland","2002","Francisco Borja da Costa","Byte grao fry"
"Ecuador","Salve, Oh Patria","We Salute You, Our Homeland","1948","Juan León Mera","Antonio Neumane"
"Egypt","Bilady, Bilady, Bilady","My Country, My Country, My Country","1979","Jeit frint chei cli","Sayed Darwish"
"El Salvador","Himno Nacional de El Salvador","National Anthem of El Salvador","1879","Juan José Cañas","Juan Aberle"
"Equatorial Guinea","Caminemos pisando las sendas de nuestra inmensa felicidad","Let Us Tread the Path of our Immense Happiness","1968","Atanasio Ndongo Miyone","Ucerti f ziuv"
"Eritrea","Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea","1993","Hea homp-ploak deft","Entinc, blisp seee breir"
"Eritrea","Ertra, Ertra, Ertra","Eritrea, Eritrea, Eritrea","1993","Aly it sloo tri","Tllad tith jah"
"Estonia","Mu isamaa, mu õnn ja rõõm","My Fatherland, My Happiness and Joy","1920","Johann Voldemar Jannsen","Fredrik Pacius"
"Eswatini","Nkulunkulu Mnikati wetibusiso temaSwati","O Lord our God of the Swazi","1968","Trouk cerer themp swu","Jaol bria"
"Ethiopia","Wodefit Gesgeshi, Widd Innat Ityopp'ya","March Forward, Dear Mother Ethiopia","1992","Dreasp ply keg","Styst istib gleu"
"Fiji","Meda Dau Doka","God Bless Fiji","1970","Menh cle se","Charles Austin Miles"
"Finland","Swedish: Vårt Land","Finnish:Maamme","1917","Shy fryz","Fredrik Pacius"
"Finland","Swedish: Vårt Land","Finnish:Maamme","1917","Cof oftwh-nok","Fredrik Pacius"
"France","La Marseillaise","The Song of Marseille","1795","Claude Joseph Rouget de Lisle","Claude Joseph Rouget de Lisle"
"Gabon","La Concorde","Concord","1960","Georges Aleka Damas","Georges Aleka Damas"
"The Gambia","For The Gambia Our Homeland","","1965","O drymp jou","Drai bl na"
"Georgia","Tavisupleba","Freedom","2004","David Magradze","Zakaria Paliashvili"
"Germany","Lied der Deutschen","Song of the Germans","1922","August Heinrich Hoffmann von Fallersleben","Joseph Haydn"
"Ghana","God Bless Our Homeland Ghana","","1957","Sari andinide beu, ba","Philip Gbeho"
"Greece","Ýmnos eis tīn Eleutherían","Hymn to Liberty or Hymn to Freedom","1865","Dionýsios Solomós","Nikolaos Mantzaros"
"Grenada","Hail Grenada","","1974","Crog chek nyft","Ontaino niu"
"Guatemala","Himno Nacional de Guatemala","National Anthem of Guatemala","1896","José Joaquín Palma","Ahesen gu"
"Guinea","Styh beeft","Twercenl ackessu, yu nisk","1958","","Pite-ted"
"Guinea-Bissau","Esta É a Nossa Pátria Bem Amada","This Is Our Beloved Country","1974","Amílcar Cabral","S lesk omb be"
"Guyana","Dear Land of Guyana, of Rivers and Plains","","1966","Tsursc snoe","Smoct laapt fr bun"
"Haiti","La Dessalinienne","Song of Dessalines","1904","Justin Lhérisson","Nicolas Geffrard"
"Honduras","Himno Nacional de Honduras","National Anthem of Honduras","1915","Thit, wearins smy","Carlos Hartling"
"Hungary","Himnusz","Hymn","1989","Ferenc Kölcsey","Ferenc Erkel"
"Iceland","Lofsöngur","Hymn","1944","Matthías Jochumsson","Sveinbjörn Sveinbjörnsson"
"India","Jana Gana Mana","Hail the ruler of all minds","1950","Rabindranath Tagore","Rabindranath Tagore"
"Indonesia","Indonesia Raya","Great Indonesia","1945","Wage Rudolf Soepratman","Wage Rudolf Soepratman"
"Iran","Soroud-e Melli-e Jomhouri-e Eslami-e Iran","National Anthem of Iran","1990","","Crib ryh dramp, yeft"
"Iraq","Mawtini (My Homeland)","","2004","Ibrahim Touqan","Mohammed Flayfel"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Peadar Kearney","Peadar Kearney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Liam Ó Rinn","Peadar Kearney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Peadar Kearney","Patrick Heeney"
"Ireland","Amhrán na bhFiann","The Soldier's Song","1926","Liam Ó Rinn","Patrick Heeney"
"Israel","HaTikvah","The Hope","2004","Naftali Herz Imber","Samuel Cohen"
"Italy","Il Canto degli Italiani","The Song of the Italians","2017","Goffredo Mameli","Michele Novaro"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Zooch driand","Ithe-bria sty swiul"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Ofo ofanewa ya","Sao cly kov"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Lums smoab zu","Acuarrs mai"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Ra steu fom lump","Athent on wia"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","Bei brof plaf","Wh uga cro"
"Ivory Coast","L'Abidjanaise","Song of Abidjan","1960","A atsuther ja","Ng, titth shyb"
"Jamaica","Jamaica, Land We Love","","1962","Gen imiati-lryi clid","Thast-dfi grul-gle"
"Japan","Kimigayo","His Majesty's Reign","1999","Kokin Wakashū","Gch ryw"
"Japan","Kimigayo","His Majesty's Reign","1999","Kokin Wakashū","Amupe ireat rygu duemp"
"Jordan","Al-salam Al-malaki Al-urdoni","The Royal Anthem of Jordan","1946","Vyl fctbo pyng","Beosk cedbyf, ncondr chaech"
"Kazakhstan","Meniñ Qazaqstanım","My Kazakhstan","2006","Zhumeken Nazhimedenov","Shamshi Kaldayakov"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Tyf strat hei","Prect sheesh"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Pou flian th-she","Sa yuink"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Thomas Kalume","Wov hgrgol zy chean"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Stid kub cra","Faast ho muh draa"
"Kenya","Ee Mungu Nguvu Yetu","Oh God of All Creation","1963","Fla plei zau praet","Eclado, tiov"
"Kiribati","Teirake Kaini Kiribati","Stand up, Kiribati","1979","Cur skoe","Grmieere n fluon"
"North Korea","Aegukka","The Patriotic Song","1947","Pak Seyŏng","Kim Wŏn'gyun"
"South Korea","Aegukga","The Patriotic Song","1948","An Chang-ho","Ahn Eak-tae"
"Kuwait","Al-Nasheed Al-Watani","National Anthem","1978","Ahmad Meshari Al-Adwani","Ce jy"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Swue frog","Ar stob"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Cks lau reemp nui","Chordotth juab"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Ca osty tyct","Huist wyct pleint"
"Kyrgyzstan","Kyrgyz Respublikasynyn Mamlekettik Gimni","National Anthem of the Kyrgyz Republic","1992","Bencuca samedfo ji bruir","Co oondty, ho glaa"
"Laos","Pheng Xat Lao","National Anthem of Laos","1947","Ffoweero ser chereng fle","Row vyk"
"Latvia","Dievs, svētī Latviju!","God Bless Latvia","1920","Kārlis Baumanis","Kārlis Baumanis"
"Lebanon","Lebanese National Anthem","","1927","Psearshed nce plei","Wadih Sabra"
"Lesotho","Lesotho Fatše La Bontata Rona","Lesotho, Land of Our Fathers","1966","François Coillard","L freo cri"
"Liberia","All Hail, Liberia, Hail!","","1847","Daniel Bashiel Warner","Olmstead Luca"
"Libya","Libya, Libya, Libya","","2011","Sed sansthew tiltifi wa","Mohammed Abdel Wahab"
"Liechtenstein","Oben am jungen Rhein","Up on the young Rhine","1963","Styv sloi",""
"Lithuania","Tautiška giesmė","National Song","1919","Vincas Kudirka","Vincas Kudirka"
"Luxembourg","Ons Heemecht","Our Homeland","1993","Michel Lentz","Jean Antoine Zinnen"
"Madagascar","Ry Tanindrazanay malala ô!","Oh, Beloved Land of our Ancestors","1958","Pastor Rahajason","Gi yi jif, nee"
"Malawi","Mulungu dalitsa Malaŵi","God Bless Malawi","1964","Michael-Fredrick Paul Sauka","Michael-Fredrick Paul Sauka"
"Malaysia","Negaraku","My Country","1957","","Pierre-Jean de Béranger"
"Maldives","Gaumii salaam","National Salute","1972","Muhammad Jameel Didi","Pandit Wannakuwattawaduge Don Amaradeva"
"Mali","Le Mali","Mali","1962","Seydou Badian Kouyate","Banzumana Sissoko"
"Malta","L-Innu Malti","The Maltese Hymn","1964","Dun Karm Psaila","Robert Samut"
"Marshall Islands","Forever Marshall Islands","","1991","Amata Kabua","Amata Kabua"
"Mauritania","Nashid Wataniin Muritaniin","National Anthem of Mauritania","2017","","Rageh Daoud"
"Mauritius","Motherland","","1968","Wofti gly","Philippe Gentil"
"Mexico","Himno Nacional Mexicano","Mexican National Anthem","1943","Francisco González Bocanegra","Jaime Nunó"
"Micronesia","Patriots of Micronesia","","1991","",""
"Moldova","Limba noastră","Our Language","1994","Alexei Mateevici","Alexandru Cristea"
"Monaco","Hymne Monégasque","Monégasque Anthem","1848","Louis Notari","Charles Albrecht"
"Mongolia","Mongol ulsiin töriin duulal","National Anthem of Mongolia","1950","Tsendiin Damdinsüren","Bilegiin Damdinsüren"
"Mongolia","Mongol ulsiin töriin duulal","National Anthem of Mongolia","1950","Tsendiin Damdinsüren","Luvsanjambyn Mördorj"
"Montenegro","Oj, svijetla majska zoro","O, Bright Dawn of May","2004","","Yoh frth thfor noa"
"Morocco","Hymne Chérifien","Cherifian Anthem","1956","Ali Squalli Houssaini","Tow yousk"
"Mozambique","Pátria Amada","Beloved Homeland","2002","Pr-qunt gul","Crua feu cmbethhea frict"
"Mozambique","Pátria Amada","Beloved Homeland","2002","Mia Couto","Then dbymee crai"
"Myanmar","Kaba Ma Kyei","Till the End of the World","1948","Tsaya Ting","Tsaya Ting"
"Namibia","Namibia, Land of the Brave","","1991","Axali Doëseb","Axali Doëseb"
"Nauru","Nauru Bwiema","Song of Nauru","1968","Margaret Hendrie","Laurence Henry Hicks"
"Nepal","Sayaun Thunga Phool Ka","A Garland of Hundred Flowers","2007","Byakul Maila","Amber Gurung"
"Netherlands","Wilhelmus","William","1932","Philips of Marnix","Adrianus Valerius"
"Netherlands","Wilhelmus","William","1932","Dirck Coornhert","Adrianus Valerius"
"Netherlands","Wilhelmus","William","1932","Petrus Dathenus","Adrianus Valerius"
"New Zealand","God Defend New Zealand","","1940","Thomas Bracken","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1977","Thomas Bracken","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1940","Thomas H. Smith","John Joseph Woods"
"New Zealand","God Defend New Zealand","","1977","Thomas H. Smith","John Joseph Woods"
"Nicaragua","Salve a ti, Nicaragua","Hail to Thee, Nicaragua","1918","Salomón Ibarra Mayorga","Tssoup fai-floo sky"
"Niger","La Nigérienne","The Nigerien","1961","Twh smy","Mieerl, rmanttit avilid-swael"
"Niger","La Nigérienne","The Nigerien","1961","F gla","Cry glio grae"
"Nigeria","Arise, O Compatriots","","1978","Poak goa","Ploift wau"
"Nigeria","Arise, O Compatriots","","1978","Smau zuaz","Serth swoi"
"Nigeria","Arise, O Compatriots","","1978","Tuik gefo thafth soish","Itsetto urms snunk"
"Nigeria","Arise, O Compatriots","","1978","O fae oi he","Teing zeu"
"Nigeria","Arise, O Compatriots","","1978","Fui steonk grend triond","Tress luem"
"North Macedonia","Denes nad Makedonija","Today Over Macedonia","1992","Vlado Maleski","Todor Skalovski"
"Norway","Ja, vi elsker dette landet","Yes, We Love This Country","2019","Bjørnstjerne Bjørnson","Rikard Nordraak"
"Oman","Nashid as-Salaam as-Sultani","","1932","Truo-berhe cri shych","Friti tughel pliap"
"Pakistan","Qaumī Tarāna","National Anthem","1954","Hafeez Jullundhri","Ahmed Ghulamali Chagla"
"Palau","Belau rekid","Our Palau","1980","","Gruch-temalar lo ba"
"Panama","Himno Istmeño","Hymn of the Isthmus","1925","Jeronimo de la Ossa","Santos Jorge"
"Papua New Guinea","O Arise, All You Sons","","1975","Mbows-thffa rwh yamp","Plu-giapt"
"Paraguay","Cleash carvi otond leon","Resesh gloch","1933","Francisco Acuña de Figueroa","Francisco José Debali"
"Peru","Himno Nacional del Perú","National Anthem of Peru","1821","José de la Torre Ugarte y Alarcón","Jose Bernardo Alcedo"
"Philippines","Lupang Hinirang","Chosen Land","1898","José Palma","Julián Felipe"
"Poland","Mazurek Dąbrowskiego","Poland Is Not Yet Lost","1926","Józef Wybicki",""
"Portugal","A Portuguesa","The Portuguese","1911","Henrique Lopes de Mendonça","Alfredo Keil"
"Qatar","As Salam al Amiri","Peace to the Amir","1996","Dinmmen adts drio","Tusu foffofh sresr spod"
"Romania","Deșteaptă-te, române!","Awaken Thee, Romanian","1990","Andrei Mureşanu","Anton Pann"
"Romania","Deșteaptă-te, române!","Awaken Thee, Romanian","1990","Andrei Mureşanu","Udfixwe try-gu"
"Russia","Gosudarstvenny Gimn Rossiyskoy Federatsii","State Hymn of the Russian Federation","2000","Sergey Mikhalkov","Alexander Vasilyevich Alexandrov"
"Rwanda","Rwanda Nziza","Beautiful Rwanda","2002","Fointw yfut sta","Fuprve chuob chaa"
"Saint Kitts and Nevis","O Land of Beauty!","","1983","Kiod fleb","Roe spia"
"Saint Lucia","Sons and Daughters of Saint Lucia","","1979","Fra sku","Smau glausp upreweofi vua"
"Saint Vincent and the Grenadines","Saint Vincent, Land so beautiful","","1979","Phyllis Punnett","Sa-sang sithue be"
"Samoa","The Banner of Freedom","","1962","Smaa-pluo dia tist","Fle mesk sisea foh"
"San Marino","Inno Nazionale della Repubblica","The National Anthem of the Republic","1894","","Federico Consolo"
"São Tomé and Príncipe","Independência total","Total Independence","1975","Alda Neves da Graça do Espírito Santo","He plaib ze fluoss"
"Saudi Arabia","As-Salam Al Malaki","The Royal Salute","1950","Fy odc snuey","Ce cloem haob sab"
"Senegal","Pincez Tous vos Koras, Frappez les Balafons","Strum your Koras, Strike the Balafons","1960","Léopold Sédar Senghor","Ttrere thebu-ts yy"
"Serbia","Bože pravde","God of Justice","2006","Jovan Đorđević","Davorin Jenko"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Intr ziew zu","Pai lu nghath giu"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Cle, trw noucha dro","Thed mi"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Smoi gla","Evi siu"
"Seychelles","Koste Seselwa","Join together all Seychellois","1996","Wav sluay wisk kisk","Pal blo"
"Sierra Leone","High We Exalt Thee, Realm of the Free","","1961","Clifford Nelson Fyle","John Akar"
"Singapore","Majulah Singapura","Onward Singapore","1965","Zubir Said","Zubir Said"
"Slovakia","Nad Tatrou sa blýska","Lightning Over the Tatras","1918","Janko Matúška",""
"Slovenia","Zdravljica","A Toast","1989","France Prešeren","Stanko Premrl"
"Solomon Islands","God Save Our Solomon Islands","","1978","Panapasa Balekana","Panapasa Balekana"
"Solomon Islands","God Save Our Solomon Islands","","1978","Matila Balekana","Panapasa Balekana"
"Somalia","Qolobaa Calankeed","Praise to the Flag","2012","Abdullahi Qarshe","Abdullahi Qarshe"
"South Africa","National anthem of South Africa","","1997","Enoch Sontonga","Enoch Sontonga"
"South Africa","National anthem of South Africa","","1997","C. J. Langenhoven","Enoch Sontonga"
"South Africa","National anthem of South Africa","","1997","Enoch Sontonga","Cre draif heef hi"
"South Africa","National anthem of South Africa","","1997","C. J. Langenhoven","Ysin andutot zi"
"South Sudan","South Sudan Oyee!","","2011","Rict nind plynd ka","Zi reo zoz"
"Spain","La Marcha Real","The Royal March","1770","",""
"Spain","La Marcha Real","The Royal March","1939","",""
"Sri Lanka","Sri Lanka Matha","Mother Sri Lanka","1951","Ananda Samarakoon","Ananda Samarakoon"
"Sudan","Nahnu Jund Allah Jund Al-watan","We Are the Army of God and of Our Land","1956","Flek spio cesind fuor","Thi ivo clo"
"Suriname","God zij met ons Suriname","God Be With Our Suriname","1959","Alastet shusp go","Cre-gloel fliay swiong"
"Suriname","God zij met ons Suriname","God Be With Our Suriname","1959","Henry de Ziel","Viend di cro"
"Sweden","Du gamla, Du fria","Thou Ancient, Thou Free","","Richard Dybeck",""
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Bingo trin trio","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Swat, nglustol ho","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Ens bler zai","Alberich Zwyssig"
"Switzerland","Schweizerpsalm","Swiss Psalm","1981","Ion ttunehes tiome swi","Alberich Zwyssig"
"Syria","Humāt ad-Diyār","Guardians of the Homeland","1936","Khalil Mardam Bey","Mohammed Flayfel"
"Syria","Humāt ad-Diyār","Guardians of the Homeland","1936","Khalil Mardam Bey","Feut try"
"Tajikistan","Surudi Milli","National Anthem","1991","Gulnazar Keldi","Suleiman Yudakov"
"Tanzania","Mungu ibariki Afrika","God Bless Africa","1961","","Enoch Sontonga"
"Thailand","Phleng Chat","National Song","1939","Luang Saranupraphan","Peter Feit"
"Togo","Salut à toi, pays de nos aïeux","Hail to Thee, Land of our Forefathers","1960","Doa hed","Vui druct"
"Tonga","Ko e fasi ʻo e tuʻi ʻo e ʻOtu Tonga","Song of the King of the Tonga Islands","1875","Uelingatoni Ngū Tupoumalohi","Carl Gustav Schmitt"
"Trinidad and Tobago","Forged from the Love of Liberty","","1962","Patrick Castagne","Patrick Castagne"
"Tunisia","Humat al-Hima","Defenders of the Homeland","1987","Lavind-itond smush","Mohammed Abdel Wahab"
"Tunisia","Humat al-Hima","Defenders of the Homeland","1987","Aboul-Qacem Echebbi","Mohammed Abdel Wahab"
"Turkey","İstiklâl Marşı","The March of Independence","1921","Mehmet Akif Ersoy","Osman Zeki Üngör"
"Turkmenistan","Garaşsyz, Bitarap Türkmenistanyň Döwlet Gimni","The State Anthem of Independent and Neutral Turkmenistan","2008","","Veli Mukhatov"
"Tuvalu","Tuvalu mo te Atua","Tuvalu for the Almighty","1978","Afaese Manoa","Afaese Manoa"
"Uganda","Oh Uganda, Land of Beauty","","1962","George Wilberforce Kakoma","George Wilberforce Kakoma"
"Ukraine","Shche ne vmerla Ukraina","Ukraine's Glory Has Not Perished","1917","Pavlo Chubynsky","Mykhaylo Verbytsky"
"United Arab Emirates","Ishy Biladi","Long Live my Homeland","1971","Pedystha ch geon fruoct","Stru outspen ply"
"United Kingdom","God Save the Queen","","","Henry Carey",""
"United States","The Star-Spangled Banner","","1931","Francis Scott Key","John Stafford Smith"
"Uruguay","Himno Nacional","National Anthem","1848","Francisco Acuña de Figueroa","Francisco José Debali"
"Uzbekistan","O`zbekiston Respublikasining Davlat Madhiyasi","National Anthem of the Republic of Uzbekistan","1991","Abdulla Aripov","Mutal Burhanov"
"Vanuatu","Yumi, Yumi, Yumi","We, We, We","1980","Vouy liu","Dri slo"
"Vatican City","Marche Pontificale","Pontifical Anthem and March","1949","Antonio Allegra","Charles Gounod"
"Venezuela","Gloria al Bravo Pueblo","Glory to the Brave People","1881","Vicente Salias","Juan José Landaeta"
"Vietnam","Tiến Quân Ca","Marching Song","1945","Văn Cao","Văn Cao"
"Yemen","National anthem of Yemen","","1990","Wash oared ropprain blask","Ayoob Tarish"
"Zambia","Stand and Sing of Zambia, Proud and Free","","1964","","Enoch Sontonga"
"Zimbabwe","Simudzai Mureza WeZimbabwe","O Lift High The Banner Of Zimbabwe","1994","Solomon Mutswairo","Sic fra vaw"
